Div ARTEFACT DNA DNA/Academ-1 DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-Transib DNA/Crypton-A DNA/Crypton-I DNA/Crypton-V DNA/Ginger-2 DNA/IS3EU DNA/Kolobok-E DNA/Kolobok-Hydra DNA/MULE-MuDR DNA/MULE-NOF DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/Sola-1 DNA/Sola-2 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-hAT19 DNA/hAT-hATm DNA/hAT-hATx LINE LINE/CR1 LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/RTE LINE/RTE-BovB LINE/RTE-RTE LINE/RTE-X LTR LTR/Copia LTR/Gypsy LTR/Pao LTR/Unknown RC/Helitron SINE/5S SINE/MIR SINE/tRNA SINE/tRNA-Deu Satellite Simple_repeat Unknown rRNA tRNA 
0 0 14168 484 0 83244 104 2251 26 0 92952 329 96815 815 29597 105697 774 64418 6872 11478 9130 28378 61 245989 5722 2759 0 12251 0 151129 7420 105 727016 0 0 32022 142207 1027214 28 0 20799 1107611 56269 1410951 42105 48 13051 65073 262688 108 1769 153912 0 333193 2619 14682 1371 314576 105376 37 92 1311 0 1950 194402 0 670 18202 1452892 3178342 939539 233507 12625 32 0 0 0 0 0 977936 30447 0 
1 0 15540 2055 0 236004 191 42397 214 0 3530 2614 149788 1868 124167 126294 4733 304331 44646 62151 113200 92449 5882 463190 7415 72994 0 74615 0 47837 9262 0 1953727 0 0 68900 161550 125038 81 0 43596 156876 156696 947408 48770 0 27820 239013 54702 165 70583 537232 0 169704 105581 89338 23695 566606 200386 0 1230 5375 0 755 1663564 0 10906 665 241173 2654151 722035 251667 101564 61104 0 0 0 648 0 2408796 1574 0 
2 0 40310 17540 0 462388 3899 85908 445 0 4224 9542 78898 8926 84338 233869 24599 486099 24893 171567 146520 72159 17100 608679 58883 51195 0 79068 0 131235 53147 203 1833733 0 45 298852 149869 56763 0 0 19290 102151 29304 474945 27634 188 53110 287001 60992 964 60505 738309 0 116084 436325 5101 12540 611300 220176 72 11476 20852 0 6866 819443 0 36235 2572 133030 2186121 637553 384775 348136 162212 0 0 0 3722 0 3643681 210 668 
3 0 74618 32673 0 64188 2693 127656 551 61 2184 20218 38543 12090 95665 67827 56216 233634 4419 93801 111166 38148 10716 476799 54459 129226 0 90581 0 120901 268236 363 1008423 0 376 930942 118811 61235 911 0 5724 63008 17696 496775 35641 102 85154 242091 141314 4799 40205 591984 29 213861 164775 832 3949 459034 210362 33 16607 71615 0 9189 610992 124 50052 7492 201631 1080956 254561 355456 665481 73894 0 28 154 9410 0 4153580 0 0 
4 0 280494 39006 0 114200 619 92103 1355 248 5681 4270 20213 3485 94476 47627 42961 118348 4844 36385 69561 18251 7998 462438 62879 144433 0 62786 42 450426 334230 781 741161 0 919 566786 128173 36135 9901 0 4754 70083 21406 313582 18629 88 170887 321672 231722 12562 36709 553642 0 371124 75375 228 5214 405815 242784 0 11306 150830 0 4639 556590 0 23299 5437 282017 843544 227236 295007 788449 39294 0 0 99 17451 0 4791491 302 187 
5 0 162829 42472 0 262846 715 92027 6195 34 5018 8189 11848 5817 148647 35568 51646 68885 15649 45514 60975 17520 12439 373265 55029 118202 0 59508 0 479807 195637 1932 734832 0 2001 276496 143115 61276 12637 0 3404 78947 23615 260867 11044 402 264853 539649 250636 11008 28174 377472 1920 260460 80267 4272 3308 387958 219248 511 5138 113505 0 19215 338594 180 41761 3064 230634 885331 275358 149648 457935 17772 0 0 246 32999 0 5499690 83 369 
6 0 88103 30175 0 349153 310 116040 5061 142 4400 12715 9280 5788 154752 41569 61196 51986 4758 80411 56093 6209 36687 377056 74397 89343 0 98945 48 788636 92498 2554 713088 0 13275 241476 194215 57991 15131 0 8772 72869 34302 253208 3814 357 337524 683404 201640 6053 21010 432823 70 169684 112679 574 1464 387862 198037 2067 4488 44109 0 53022 294994 1123 37037 7190 219511 877459 247745 108829 220988 24981 63 0 270 37499 0 5278188 873 82 
7 0 86583 28479 0 799910 2289 107304 8068 2441 7837 18256 6541 5816 127004 45420 62866 40818 6003 96035 71259 3042 31752 408557 105460 83779 0 147986 194 1110539 110585 6426 909888 0 13483 251987 254568 60350 28228 103 10899 76207 32606 250514 1216 2070 295289 634855 166958 11301 26899 524114 433 104753 81660 7484 2099 407351 204268 4613 7959 40317 0 34477 336606 1185 24106 2066 126655 1043345 234908 84178 193096 36509 0 0 309 37248 0 5252885 1011 308 
8 0 81973 23608 0 899975 3913 96756 9457 924 23616 28970 6707 12834 98941 69386 58161 107274 9533 69205 65715 3492 20460 352119 126284 61710 0 163421 239 1378999 82609 11805 1170677 0 9902 235220 286804 65395 22532 0 11127 62028 48486 284909 2258 5867 228749 464924 132254 13892 24955 317178 338 86222 54454 415 1760 420688 215113 1841 11721 30181 0 29452 415260 1942 16925 2400 106245 928516 192778 76739 155670 19452 0 90 470 21995 0 5077788 2498 144 
9 0 77008 21341 0 998278 59 81009 12860 912 20185 62118 4869 9571 67196 58622 42889 58055 6606 48977 61375 3771 14184 251542 123375 79018 0 167646 667 1603992 70321 11649 1383110 46 7173 207838 247366 76796 13427 0 12068 66937 34576 298947 1095 4555 145308 304195 95624 18317 31167 284446 3518 78290 62024 4250 1991 400389 208937 2713 11366 54584 0 32328 449355 2341 14768 2182 92480 558584 144057 72688 109631 13988 0 48 814 23744 0 4846597 3791 144 
10 0 66764 24416 0 928473 0 89347 7831 1133 12170 32438 2918 8324 62084 49567 34969 35251 12203 34984 50282 3221 6405 209055 107931 69717 42 192572 324 1543223 50625 12808 1331365 0 3082 186133 249170 53496 5124 0 11408 61742 20848 295415 380 7953 110374 208873 59918 10453 34362 252483 364 60484 71779 3043 3168 389354 184829 3537 15027 45918 0 29996 453745 6951 13942 680 90578 465508 138572 68807 93300 17035 157 58 1594 20867 0 4634608 82 154 
11 0 65759 21586 40 1390629 1140 62185 4813 2882 12577 37412 2428 5958 67632 36873 26127 46627 8958 21753 42697 3336 2169 157342 86836 68693 98 168226 1189 1354519 39991 10195 1235553 0 1067 186825 190461 49722 2372 109 6780 51558 9766 319968 1094 12305 88186 148420 60177 9171 27780 184045 2696 51501 80709 472 342 326502 174026 1232 10961 46571 0 30646 525008 4769 11535 907 105747 474933 133890 63651 61129 12968 39 244 2051 12784 0 4362838 1026 152 
12 0 70874 24818 0 419082 0 50866 4229 7615 5839 13756 3042 3442 61710 23495 24264 29025 7344 24470 36780 3019 3967 127935 65757 50665 0 143892 3474 1241133 43250 4223 1158504 0 1043 180867 172905 30582 2852 0 5466 47584 6518 289032 848 17184 75855 97766 38938 9722 21661 129322 4217 45671 97095 8369 0 300593 161468 474 8451 60936 0 26340 552339 5642 10385 44 88655 431524 115877 66346 45216 15210 207 566 3555 10444 0 4095205 1916 271 
13 0 70379 15595 0 243664 0 49149 986 8756 3941 8580 3270 1184 55100 20593 15131 18963 4351 13740 32637 2332 537 111820 48225 44513 0 93015 1698 1208599 38619 4409 1115676 51 1337 190239 141268 31285 1073 0 7182 41500 5861 251662 1407 18412 80024 85285 42954 4218 17720 123000 4687 33916 99323 1155 48 228867 157543 1031 8694 57052 0 18697 579029 5992 5875 854 74347 411408 121964 56424 28934 9689 212 147 3818 7502 0 3807739 5543 164 
14 0 77970 12740 0 222403 329 29938 900 11756 3830 5522 3392 629 47655 19662 10400 22534 6833 10213 38542 1375 238 102884 26617 26559 0 56037 4188 1236849 27772 2156 1063298 0 526 171629 113779 29697 2106 0 3846 41401 6283 198506 2140 18625 64805 75940 36632 4141 19992 103396 6626 31975 101816 1174 90 201900 148584 1580 4131 62784 0 14962 513458 8701 7875 266 60688 354380 112851 58259 21971 4593 40 570 6621 7999 0 3600063 2114 72 
15 0 84659 6488 0 208569 0 23419 406 12135 5060 2160 3596 741 38648 9127 9355 19567 5432 9063 30149 1102 355 84829 19747 30602 0 37766 2670 1317803 32924 742 976236 0 356 150900 111585 20574 1527 145 3175 39510 5013 144634 90 14357 60742 74256 37929 2113 17546 103262 8671 29241 129057 315 259 167365 151138 211 3692 66177 0 32312 505992 7892 9330 1123 43636 328927 97576 70287 15416 5349 445 1142 6192 5879 0 3366148 4319 223 
16 0 88410 3977 0 198615 391 18283 83 12246 5587 1710 3966 535 27820 6478 6389 13453 3405 7784 23192 477 67 62590 10628 29950 113 26827 6622 1097258 26460 706 839453 0 1321 125054 78310 16514 3786 56 2173 35205 5557 123778 556 15850 41383 52873 31716 3704 14541 96580 6841 24829 100067 1280 55 152608 127908 636 1874 82860 0 32602 471776 8199 5254 70 34132 299633 82137 69403 16429 3900 814 782 10883 6789 0 3216733 1293 157 
17 0 87111 2549 0 143327 477 14279 142 12002 4510 1568 6425 157 25083 5777 4463 18266 6992 4397 21748 425 219 53886 6773 32450 70 20624 2047 1046279 20965 486 792676 0 155 91007 71282 18154 1332 129 1966 33247 1908 92224 621 11869 31378 61479 30675 1817 9833 88874 10757 24997 118498 1359 105 117724 125654 1181 3691 90526 0 35957 409805 8923 4278 762 27351 236191 87077 75738 10978 4442 362 1739 10250 7201 0 3003437 2038 156 
18 0 69716 2528 0 143697 260 10319 0 7689 3873 1668 11664 0 25851 3786 5338 16942 4346 10726 20501 750 456 48840 3274 42059 120 15641 2645 923524 16206 68 673318 278 1720 86472 51642 18229 2547 131 2348 22856 2646 79030 1417 9362 27599 53518 19630 3151 14117 90541 11927 23059 100585 696 1091 126344 115427 94 4000 96793 0 28646 315613 9655 2257 217 26399 222221 79016 75045 10648 6223 703 1630 11458 6897 0 2858364 1479 77 
19 0 63820 1894 0 127573 0 11916 131 6695 4107 1379 11977 130 38106 3812 3846 21143 3486 12187 13750 593 0 42302 1836 41504 115 12992 2326 786720 16968 12 637048 52 258 66950 45609 10709 4233 0 1565 21456 3266 60654 453 6865 19958 45745 13724 2880 12712 86539 12164 28772 105935 868 739 168455 102885 187 2640 106818 0 8014 286460 4735 3199 218 19458 212549 62974 68632 15976 3395 1039 1354 11566 2759 0 2792594 6376 74 
20 0 44299 478 0 148048 741 10865 234 4588 4480 1743 12990 135 34034 4567 1835 24523 984 5678 12831 73 85 36281 2092 49541 144 9974 3050 655148 16175 44 567554 0 656 52830 43628 10367 1942 207 942 15840 2175 52351 611 2950 18129 36256 16355 3090 11053 65111 14350 32270 108856 2548 587 154614 112119 1419 2285 119025 0 3856 276373 6151 3382 0 18833 205427 60746 72923 16016 3091 1755 2475 11896 3027 0 2706671 1529 147 
21 0 37244 1034 0 158947 2929 8773 36 2732 4318 1145 17043 134 29745 4974 3981 23122 1339 3250 9853 1916 0 28614 1517 46451 160 6107 646 610640 11927 0 571773 0 598 52927 34494 8821 1907 11 297 10390 1474 42446 659 7284 13519 34615 17818 699 8366 65073 14910 27557 120228 499 83 87942 97945 0 3179 128001 0 4688 255286 6718 1337 245 17355 188957 60382 70265 20880 5197 2294 3282 11750 5158 0 2492820 1866 75 
22 0 30620 1853 0 173040 2982 9226 0 2942 4266 575 21183 0 34048 4093 4804 19723 1497 4420 8578 247 91 28978 1739 47822 135 8245 1317 538994 12411 42 518175 127 554 42012 34537 7235 809 0 876 11898 2024 35680 1125 1580 8303 38572 20142 1714 5226 70926 13360 29831 131303 1654 984 62734 84154 0 2278 134626 0 3730 266114 4963 1772 0 14674 156104 56290 68743 22632 3422 1942 3204 10523 7225 0 2288083 948 0 
23 0 23217 2529 0 159889 6259 10763 187 1039 5014 558 24341 64 34582 1417 3592 34012 2331 4775 10361 370 134 21146 646 41642 352 5907 0 488732 10552 335 499945 146 769 35533 24130 6658 2211 103 509 16775 1858 28547 1446 2642 5531 44833 21944 2232 4668 66727 11095 34064 128228 466 701 61784 78631 303 4404 162874 0 2524 260496 7708 134 181 15364 148967 48969 61995 25279 3060 1485 3495 11658 11189 0 2065694 914 83 
24 0 23251 3353 0 166830 3779 9884 154 1662 2669 1095 19660 54 26592 1414 4891 35565 1720 3635 8656 1424 216 24663 896 40481 148 6227 1296 479643 15622 285 488033 142 364 35916 28389 7408 4671 634 2221 15189 2331 25270 1175 2729 5585 42207 23745 274 6809 54041 8012 34462 135233 1743 683 66553 68025 129 1793 173179 68 3499 277950 4579 568 0 10950 139573 45243 54424 24711 2873 1931 2959 9731 14765 0 1858483 157 0 
25 0 41732 3624 0 142089 1905 10714 0 938 3944 468 14577 114 26429 3988 5805 14537 1466 4496 6330 3413 180 22542 998 34050 259 5465 99 470178 14482 452 467332 73 429 42558 29445 9860 332 0 973 8017 1354 18229 1789 673 5305 39977 15430 699 6268 78632 8255 36298 169376 486 539 84999 62297 0 1347 190582 0 2265 306440 6023 140 0 8960 131698 50279 52633 23843 2862 2657 3097 8041 12887 0 1707474 3742 42 
26 0 40284 2243 0 124518 1513 10565 0 644 2893 715 13407 76 28048 6976 5807 12260 699 5123 11451 1301 20 24204 732 30067 402 7603 384 497628 13697 231 482699 229 302 38992 21360 15531 946 233 1406 6222 1199 17979 974 1203 4903 29930 16659 245 5967 108240 8863 25906 167344 2154 138 57572 68886 0 1691 176177 0 1204 300181 7132 314 47 8636 110950 40686 37362 44532 2805 2775 3177 5266 17210 0 1524554 2065 81 
27 0 51176 4361 0 112129 2459 11417 0 815 2482 523 10964 67 31447 8784 7078 12715 3044 5575 5955 286 65 25477 645 28146 576 10136 23 492876 19615 76 494562 325 442 39902 24344 16566 455 955 1992 7862 1566 21369 864 220 4218 31787 13254 128 3138 150871 9815 29084 179610 1247 61 64084 54823 0 3890 178543 54 3598 335836 6425 521 135 12543 96663 39575 33227 50693 1864 2492 2558 5271 15325 0 1305242 689 80 
28 0 49029 2022 0 94161 4977 16983 0 2556 2579 256 8165 89 22282 3946 10062 11873 2547 6838 10430 193 0 29843 1398 26435 456 8078 0 542350 15303 0 482266 225 1082 38792 27748 14073 0 280 2317 6434 1683 53086 426 311 4454 26477 16512 68 6004 171089 4922 23830 166996 1770 108 69121 59430 0 2149 157565 0 5298 325402 5774 295 0 12168 104702 30074 23807 33347 2138 2308 1866 3445 9956 0 1201351 528 297 
29 0 54188 2251 0 99353 5505 15986 0 2094 1798 425 2398 329 29016 6192 8774 13672 8055 3100 10535 239 0 33865 267 30417 586 6094 61 589162 19037 216 488960 461 469 33856 30501 14634 75 196 1159 7059 2354 16319 202 0 3728 29084 27083 0 7358 249855 6007 21301 171994 1443 100 85391 49403 0 4602 149796 0 2830 373006 4640 1125 145 12430 106361 35304 19535 27748 3257 2541 2494 3105 4794 0 1087256 659 82 
30 0 50393 1571 0 115378 6552 17614 13 2098 1740 241 1642 128 35783 5443 9453 7576 19801 2125 11232 188 74 39062 876 18390 707 7196 0 657430 16997 789 481069 336 153 31518 34790 16704 1285 0 2492 3871 4269 16863 182 0 5111 26364 25719 289 5443 288520 4975 16440 176239 2317 350 107607 49274 0 1794 127569 89 6197 454551 4713 1139 0 16290 89234 25901 18087 21323 1079 1881 1053 3290 4414 0 1121399 621 0 
31 0 64533 1025 0 101203 6945 27647 0 1762 1621 1597 1027 493 36608 7473 9091 11698 30562 3342 18788 258 166 53220 363 14816 640 9652 0 600497 10637 0 493708 322 148 34882 30107 20307 160 0 1417 4394 6601 13901 20 312 11115 34175 31452 42 4753 415984 4501 13400 165796 3324 1157 129765 46599 112 2685 113922 0 9292 483189 6046 1067 0 17898 105541 30286 14910 14243 943 1976 1354 1813 3771 0 1202077 209 82 
32 0 72957 3564 0 112611 2823 31262 0 1962 1821 1588 402 1209 39332 15134 9900 17857 114891 4558 16382 350 0 60745 825 10300 554 10302 267 599014 14800 128 496167 230 0 35630 35504 20708 0 37 2039 2965 11033 12564 0 142 13614 41114 31952 224 4644 453916 2835 14783 153549 2771 641 243617 39901 0 2965 94013 66 13751 535600 5802 1020 121 12053 118663 33913 8262 13597 840 1259 1180 869 2766 0 1219850 52 0 
33 0 65512 3391 0 152129 3585 32698 0 0 1602 867 289 2549 40205 14279 5390 18089 144325 5957 13696 1007 549 78891 1510 6880 580 9964 53 662489 17674 238 492119 325 374 34197 30397 20831 0 0 865 3656 5474 10576 149 0 15357 63923 36237 493 4976 551465 4074 12328 159101 3407 443 511682 33149 0 4700 81979 0 15463 601362 6125 1229 206 25684 130514 44881 8066 16471 1270 1574 390 877 1138 0 1154318 0 0 
34 0 81819 2752 0 198123 350 30835 0 1232 621 1233 408 1345 51656 15671 4644 15774 92751 4872 11279 771 112 70503 923 8370 1125 18510 0 674637 17415 114 511072 182 896 33318 35802 29866 0 0 1316 2658 11691 18933 0 68 19935 70820 32075 428 6919 547457 2960 13026 153849 1648 628 343380 30513 0 5766 74627 0 25978 666424 4696 1782 0 20834 164767 51466 6106 14889 451 1561 649 830 2032 0 1163274 84 0 
35 0 70944 4385 0 199184 1440 43750 0 165 1331 3562 117 2207 45361 13616 2684 17149 117089 9086 13880 2607 208 70161 2222 5431 2890 22319 0 539270 24810 16 490318 68 1059 46101 40519 33690 0 0 354 3050 12028 12520 0 0 23579 118829 31091 123 6777 617365 2319 10382 166059 3235 231 362123 25383 0 3899 59979 525 26820 801831 6641 482 0 23602 205546 60882 3908 20975 358 845 529 494 829 0 1043755 199 0 
36 0 46501 8113 0 181202 2233 40566 0 0 1317 3110 0 2831 40577 21768 2284 11818 69652 9742 16466 2889 0 86537 2423 4511 1724 17829 0 517571 24035 192 470089 1280 310 45186 41017 35477 0 0 0 2845 14415 15351 1034 0 27730 176772 33071 0 10836 643029 2518 10145 159111 3679 311 339636 31561 0 8235 51167 245 30966 763740 5338 518 0 34924 201686 72331 3175 11554 1074 827 946 62 374 0 1044838 227 0 
37 0 48377 7535 0 146125 850 36201 0 0 510 3485 14 3008 38534 18989 7138 13577 26221 6090 11394 2886 1270 84289 1538 5393 1347 16612 0 477976 29894 116 435401 743 276 42212 45555 42884 0 0 224 3129 13678 18611 1043 0 27446 217698 30156 146 9784 652928 2104 13542 167002 1416 326 291433 30247 27 8004 43795 228 26940 806649 3484 2235 0 37777 197023 114429 2538 16479 333 853 597 87 414 0 841611 115 0 
38 0 33890 3945 0 130004 225 40382 0 510 503 3456 0 1584 33724 29573 4626 23353 9302 10820 13513 1764 2314 96863 3089 5153 3283 24363 0 396166 21801 0 380337 0 107 45418 54430 44166 0 0 255 1219 7835 20300 2002 0 23544 210271 36752 32 6650 604162 2845 17035 176126 3438 154 283967 28218 0 10627 56122 0 28939 829319 2990 625 0 44786 221292 124242 1334 16753 0 387 0 0 176 0 674371 0 0 
39 0 25909 4753 0 125661 549 45876 0 0 749 5457 0 3931 24340 25416 2852 47115 2324 14392 11205 1648 1755 104236 0 3566 1983 22994 0 325374 23096 12 362449 51 0 30523 51775 50800 0 0 310 4241 12401 25721 4009 0 15837 145955 36023 157 10706 562473 1595 19290 164335 6653 354 364782 35111 0 10804 55955 0 31491 821201 6583 1366 0 42618 231508 162980 1130 12332 88 297 0 122 207 0 588601 0 0 
40 0 15573 6856 0 137652 0 37154 0 0 951 4820 0 1600 22573 24916 1206 33844 1502 9421 12183 1418 3057 113319 2044 4659 5191 13289 0 247766 14832 0 321466 142 0 29992 49254 44877 0 0 0 3055 12530 29921 546 0 16859 74624 38216 0 8492 504842 1521 27715 138346 5619 174 562498 25237 60 7381 66945 452 28925 765428 7180 386 0 46397 206877 189405 1342 12174 0 613 133 0 249 0 493472 122 0 
41 0 12063 6853 0 105717 238 40177 0 0 2031 4228 0 1259 15515 24902 316 28536 0 9615 7520 779 1378 96287 1532 2666 2590 17876 0 222584 13815 100 287469 38 192 17250 41967 36805 0 968 222 2346 7261 32192 1809 0 5655 41981 35221 0 11213 411917 1852 22585 124596 6767 518 713377 18129 0 6420 52604 0 33843 662835 3709 1370 0 50205 228453 170184 468 7458 0 672 0 0 0 0 415814 0 0 
42 0 7348 5228 0 85426 0 26597 0 0 759 6010 0 359 10036 18419 1006 17263 377 9215 2296 785 796 78956 1388 2245 3983 16817 0 157892 12405 499 250864 785 509 13648 29423 30958 0 0 0 1428 9628 31728 1092 0 6134 21556 24002 281 4887 362686 694 25028 91177 9080 660 678973 19176 173 9624 67487 0 20396 583027 7108 0 834 42393 193538 175386 344 7061 87 285 259 0 491 0 282428 0 0 
43 0 6772 5990 0 72568 0 18444 0 0 155 7716 0 410 7673 9376 1386 10438 135 4031 3737 0 0 72944 569 3136 2357 15661 0 118054 11177 149 182370 0 151 12770 26704 20061 0 0 226 1636 11182 43942 101 0 9363 12889 19368 238 4083 287227 210 18724 83550 2984 367 407994 11610 0 10376 57775 0 19306 474410 5313 288 0 29989 184694 100750 0 8430 0 0 103 0 0 0 247307 0 0 
44 0 5353 5993 0 71023 0 20172 0 0 271 6309 0 714 4368 9277 973 4948 0 2173 4593 0 0 53859 1453 1491 1532 15005 0 80341 4379 0 149019 0 0 7216 18689 13982 0 0 0 1264 6979 32369 0 0 5617 6755 20546 0 2373 229843 520 15274 62206 6885 476 370165 10719 0 6480 40917 0 12563 324247 4617 0 0 29379 161969 71161 0 5638 0 182 0 0 0 0 195022 16 0 
45 0 1781 5513 0 52078 0 8931 0 0 445 3980 0 742 5612 4828 158 10850 0 4266 3239 364 0 33808 765 423 527 10281 0 50744 3881 0 102751 0 0 4384 12620 9258 0 0 0 1561 2714 18997 101 0 5381 4326 9575 0 1802 182066 89 9306 36679 1218 0 135259 7704 0 7043 34539 0 11426 235223 3984 432 0 21628 103020 45427 155 1572 0 98 0 0 0 0 152747 0 0 
46 0 2064 2165 0 33140 0 6118 0 0 0 3084 0 144 2708 3944 0 9179 0 2015 926 0 0 24563 0 631 1176 10172 0 38032 3069 0 74423 0 0 2813 7181 5274 0 0 0 492 1112 19345 0 0 3082 3703 9548 0 1310 107895 157 10652 30348 1180 0 99315 9689 0 2889 37682 0 8590 138848 2464 0 0 13921 94051 30958 235 726 0 197 0 0 0 0 91176 0 0 
47 0 954 657 0 27275 0 4268 0 0 0 1169 0 304 2497 1626 314 7975 0 1716 1363 0 0 19603 434 517 296 8525 0 23891 3229 0 43475 0 0 4008 1836 2709 0 0 0 101 1989 14719 0 0 2368 3067 6224 0 1015 65288 162 6110 18568 2250 44 68889 3367 0 5754 33259 0 4677 95272 1733 217 0 13174 68617 23581 0 1442 0 0 0 0 0 0 50041 0 0 
48 0 345 960 0 18145 0 1958 0 0 0 259 0 494 2248 886 0 2708 0 0 949 0 0 10071 201 559 1171 3303 0 15953 850 0 27942 0 0 1218 3467 2094 0 0 0 0 3108 9191 0 0 822 2445 4539 0 517 45582 0 5887 16692 541 0 51517 1378 0 3801 22932 0 2238 59434 2785 0 0 4959 36958 16196 196 1789 0 0 0 0 0 0 28863 0 0 
49 0 0 159 0 9060 0 2457 0 0 0 899 0 495 1704 160 0 2575 0 468 1002 0 0 6707 416 0 0 3068 0 9288 653 0 19948 0 0 215 1601 679 0 0 0 0 2303 3374 0 0 458 1176 1864 0 255 28764 0 2482 7855 553 0 34663 1048 0 5310 19423 0 2683 33933 1543 0 0 4063 16514 7541 0 152 0 0 0 0 0 0 16322 0 0 
50 0 0 415 0 6757 0 1778 0 0 0 0 0 0 1590 169 0 709 0 0 273 0 0 2889 0 244 232 1324 0 4599 219 0 11212 0 0 377 1312 483 0 0 0 117 1074 3391 0 0 599 487 1095 0 90 22845 230 1628 4971 1372 330 26472 0 0 3700 18217 0 1629 20904 1142 0 0 2367 11476 4230 0 780 0 0 0 0 0 0 8340 0 0 
51 0 87 0 0 4500 0 449 0 0 0 591 0 0 182 279 0 0 0 0 0 0 0 1610 0 0 0 891 0 2669 294 0 5299 0 0 163 415 128 0 0 0 0 429 1632 0 0 976 29 364 0 0 15926 236 1330 4420 -3 0 13720 308 0 4964 9521 0 379 14098 505 0 0 126 8658 2659 0 151 0 0 0 0 0 0 2713 0 0 
52 0 0 0 0 4108 0 181 0 0 0 0 0 0 0 133 0 178 0 0 0 0 0 1570 0 0 0 450 0 1449 0 0 2179 0 0 194 715 0 0 0 0 0 0 467 0 0 194 163 660 0 0 8669 212 690 890 0 0 8310 523 0 1229 3139 0 709 9765 1196 0 0 633 3198 472 0 0 0 0 0 0 0 0 2788 0 0 
53 0 0 0 0 789 0 521 0 0 0 0 0 0 0 152 0 0 0 0 0 0 0 660 0 0 0 0 0 1805 0 0 1407 0 0 0 0 0 0 0 0 0 0 78 0 0 0 145 0 0 0 3579 0 292 1106 0 0 5090 91 0 518 1089 0 226 4786 237 0 0 1361 2879 813 0 211 0 0 0 0 0 0 399 0 0 
