#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	859297	56047571	74.6803	1.65344	35.3	59
HiC_scaffold_2	1	56816963	657002	42646331	75.0592	1.66896	35.3	59
HiC_scaffold_3	1	109611085	1188051	78330004	71.4618	1.56534	35.3	58.6
HiC_scaffold_4	1	81599725	920907	60268205	73.8583	1.62995	35.3	59
HiC_scaffold_5	1	72353455	839581	54734844	75.6492	1.67594	35.3	59.1
HiC_scaffold_6	1	67692486	780371	50867390	75.1448	1.66504	35.3	59.1
HiC_scaffold_7	1	59159807	674365	43701281	73.8699	1.64366	35.3	58.9
HiC_scaffold_8	1	13479537	81567	7349628	54.5243	0.880141	35.2	59.3
HiC_scaffold_9	1	58964884	684316	44192015	74.9463	1.67499	35.3	59
HiC_scaffold_10	1	36732878	419000	26942287	73.3465	1.64286	35.2	58.8
HiC_scaffold_11	1	27384	114	5441	19.8693	0.608311	35	42.7
HiC_scaffold_12	1	33592	1232	8543	25.4317	4.80787	34.9	45.4
HiC_scaffold_13	1	184337	5453	142781	77.4565	4.20791	35.2	54.3
HiC_scaffold_14	1	85992	1112	34733	40.391	1.77434	34.9	43.9
HiC_scaffold_15	1	87022	823	17652	20.2845	1.25142	35.1	44.3
HiC_scaffold_16	1	89609	3472	9752	10.8828	4.11811	35.6	51.3
HiC_scaffold_17	1	164154	3885	53029	32.3044	3.43488	35.1	47.6
HiC_scaffold_18	1	104921	107	8474	8.07655	0.144509	35	44.3
HiC_scaffold_19	1	103720	648	34405	33.171	0.875357	35.1	46.6
HiC_scaffold_20	1	90353	874	25028	27.7002	1.35035	34.8	47.8
HiC_scaffold_21	1	85252	179	12414	14.5615	0.290339	35	47.7
HiC_scaffold_22	1	80500	270	18210	22.6211	0.496075	35.3	52.6
HiC_scaffold_23	1	75743	516	19676	25.9773	0.992673	35.4	51.1
HiC_scaffold_24	1	75592	1588	18358	24.2856	2.9684	35.2	42.1
HiC_scaffold_25	1	72691	371	23350	32.1223	0.691998	35.1	52.8
HiC_scaffold_26	1	71458	836	35934	50.2869	1.68971	35.2	45.9
HiC_scaffold_27	1	70045	1878	48066	68.6216	3.69408	34.9	48.1
HiC_scaffold_28	1	68558	20	1645	2.39943	0.0392369	35.1	51.3
HiC_scaffold_29	1	68222	436	16110	23.6141	0.951848	35.2	48.5
HiC_scaffold_30	1	67017	541	29428	43.9112	1.17646	35.2	47
HiC_scaffold_31	1	65972	66	6606	10.0133	0.146547	34.8	44.1
HiC_scaffold_32	1	64000	737	33642	52.5656	1.541	35.1	48.3
HiC_scaffold_33	1	62684	596	16578	26.4469	1.17486	35	43.5
HiC_scaffold_34	1	60035	317	18010	29.9992	0.693445	35.2	52.3
HiC_scaffold_35	1	59483	171	14186	23.8488	0.423634	35.1	49.9
HiC_scaffold_36	1	58601	883	4235	7.22684	2.16652	35.1	47.8
HiC_scaffold_37	1	57907	184	10286	17.763	0.424284	35.4	47.2
HiC_scaffold_38	1	57623	225	3085	5.35376	0.517328	35	38.3
HiC_scaffold_39	1	56881	777	20311	35.7079	1.56794	35.4	48.5
HiC_scaffold_40	1	56115	388	6649	11.8489	0.868199	35.2	38.2
HiC_scaffold_41	1	55753	540	16041	28.7715	1.37806	35.1	40.3
HiC_scaffold_42	1	55361	80	4801	8.67217	0.211792	35.3	46.8
HiC_scaffold_43	1	55333	182	5274	9.53138	0.460828	35.2	43.1
HiC_scaffold_44	1	54697	897	37490	68.5412	2.37538	35.3	53.8
HiC_scaffold_45	1	54079	58	3257	6.02267	0.126574	35.4	51.4
HiC_scaffold_46	1	53000	362	7741	14.6057	1.01321	35.3	38.8
HiC_scaffold_47	1	52728	1013	27021	51.246	2.69682	34.8	43.5
HiC_scaffold_48	1	52696	359	18456	35.0235	1.00381	35.5	50
HiC_scaffold_49	1	52574	65	3220	6.1247	0.183627	35.5	39
HiC_scaffold_50	1	52452	43	1161	2.21345	0.0585488	34.9	55.6
HiC_scaffold_51	1	52291	490	6683	12.7804	1.34344	35.3	45.6
HiC_scaffold_52	1	50660	390	27654	54.5874	1.12296	35.4	54.4
HiC_scaffold_53	1	50444	480	24960	49.4806	1.40314	35.1	55.8
HiC_scaffold_54	1	50000	691	42127	84.254	2.00424	35.1	59.7
HiC_scaffold_55	1	49402	95	6181	12.5116	0.283167	34.9	42.5
HiC_scaffold_56	1	48994	148	4882	9.96449	0.415235	35.4	40.5
HiC_scaffold_57	1	48961	106	4906	10.0202	0.312637	35.7	40.9
HiC_scaffold_58	1	48913	305	18395	37.6076	0.92274	35.5	47
HiC_scaffold_59	1	48516	217	9030	18.6124	0.661349	34.9	45.2
HiC_scaffold_60	1	48449	253	20581	42.4797	0.768953	35.3	51.1
HiC_scaffold_61	1	48102	113	7745	16.1012	0.330714	35.3	48.5
HiC_scaffold_62	1	47095	458	32196	68.3639	1.44291	35.3	55.1
HiC_scaffold_63	1	45946	405	24498	53.3191	1.26479	35.4	58.3
HiC_scaffold_64	1	45702	313	6079	13.3014	0.9181	34.9	45.5
HiC_scaffold_65	1	45164	132	7626	16.8851	0.394075	35.1	42.6
HiC_scaffold_66	1	45000	5049	12265	27.2556	15.6015	35	46.4
HiC_scaffold_67	1	44932	764	10557	23.4955	2.15087	35.1	39.7
HiC_scaffold_68	1	44535	29	3184	7.14943	0.0965982	35.5	47.1
HiC_scaffold_69	1	43359	514	10759	24.8138	1.74663	35.4	42.2
HiC_scaffold_70	1	43000	659	11863	27.5884	2.08295	35.1	41.8
HiC_scaffold_71	1	42000	267	12410	29.5476	0.765857	35.3	48
HiC_scaffold_72	1	41780	31	2168	5.18909	0.108688	35.5	36.6
HiC_scaffold_73	1	41131	34	3495	8.49724	0.122171	34.8	48.7
