#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	800614	55772218	74.3134	1.55487	35.4	59.1
HiC_scaffold_2	1	56816963	608470	42261658	74.3821	1.55968	35.4	59.2
HiC_scaffold_3	1	109611085	1125136	79216471	72.2705	1.49636	35.4	58.7
HiC_scaffold_4	1	81599725	860269	59978263	73.503	1.53592	35.4	59.1
HiC_scaffold_5	1	72353455	775914	54039875	74.6887	1.5628	35.4	59.3
HiC_scaffold_6	1	67692486	730021	50362220	74.3985	1.57135	35.4	59.2
HiC_scaffold_7	1	59159807	630390	43676537	73.8281	1.551	35.4	59
HiC_scaffold_8	1	13479537	147702	10173179	75.4713	1.60324	35.4	59.5
HiC_scaffold_9	1	58964884	633414	43851699	74.3692	1.56421	35.4	59.1
HiC_scaffold_10	1	36732878	392194	27003028	73.5119	1.55274	35.4	59
HiC_scaffold_11	1	27384	194	5574	20.355	1.05167	34.9	42.1
HiC_scaffold_12	1	33592	3140	10316	30.7097	12.4209	34.9	45.8
HiC_scaffold_13	1	184337	6864	145481	78.9212	5.17223	35.5	52.1
HiC_scaffold_14	1	85992	3040	48874	56.8355	4.88682	34.8	45
HiC_scaffold_15	1	87022	1180	30575	35.1348	1.86431	35.2	45.8
HiC_scaffold_16	1	89609	2880	10230	11.4163	3.53401	35.6	51.1
HiC_scaffold_17	1	164154	7769	75967	46.2779	6.82275	35.2	49.1
HiC_scaffold_18	1	104921	586	47353	45.1321	0.801937	35.4	52.1
HiC_scaffold_19	1	103720	529	34846	33.5962	0.737669	35.2	47.1
HiC_scaffold_20	1	90353	690	30312	33.5484	1.07633	35.4	50.3
HiC_scaffold_21	1	85252	347	25916	30.3993	0.581159	35.3	48.3
HiC_scaffold_22	1	80500	438	23417	29.0894	0.800484	35.4	49.7
HiC_scaffold_23	1	75743	315	20970	27.6857	0.610221	35.6	53.9
HiC_scaffold_24	1	75592	910	15958	21.1107	1.7146	35.3	43.3
HiC_scaffold_25	1	72691	2389	37107	51.0476	4.72844	35.3	54.4
HiC_scaffold_26	1	71458	603	35883	50.2155	1.20433	35.4	48.2
HiC_scaffold_27	1	70045	3093	52937	75.5757	6.30793	35.3	54.8
HiC_scaffold_28	1	68558	54	4003	5.83885	0.108244	34.9	55
HiC_scaffold_29	1	68222	1067	20066	29.4128	2.31716	35.4	45.1
HiC_scaffold_30	1	67017	688	35206	52.5329	1.49655	35.1	46.1
HiC_scaffold_31	1	65972	95	9124	13.8301	0.214758	35.4	47.4
HiC_scaffold_32	1	64000	639	32303	50.4734	1.3777	35.5	50.1
HiC_scaffold_33	1	62684	690	20483	32.6766	1.4105	35.2	41.9
HiC_scaffold_34	1	60035	489	31506	52.4794	1.11655	35.5	56
HiC_scaffold_35	1	59483	117	11432	19.2189	0.290823	35.5	50.1
HiC_scaffold_36	1	58601	584	5180	8.83944	1.4423	34.9	43
HiC_scaffold_37	1	57907	165	10834	18.7093	0.395375	35.5	49.2
HiC_scaffold_38	1	57623	228	3446	5.98025	0.530101	35.3	37.8
HiC_scaffold_39	1	56881	710	21047	37.0018	1.41838	35.4	49.3
HiC_scaffold_40	1	56115	525	9074	16.1704	1.18612	35.6	38.6
HiC_scaffold_41	1	55753	554	20864	37.4222	1.42708	35.2	40.4
HiC_scaffold_42	1	55361	57	2092	3.77883	0.139918	34.4	40.2
HiC_scaffold_43	1	55333	776	12134	21.929	1.98484	34.9	39.6
HiC_scaffold_44	1	54697	2412	45186	82.6115	6.4646	35.4	55.6
HiC_scaffold_45	1	54079	89	3514	6.4979	0.188816	35.3	45.1
HiC_scaffold_46	1	53000	241	6293	11.8736	0.66934	35.1	38.9
HiC_scaffold_47	1	52728	1846	25756	48.8469	4.89488	34.8	47.4
HiC_scaffold_48	1	52696	292	22266	42.2537	0.815071	35.1	52.2
HiC_scaffold_49	1	52574	86	4263	8.10857	0.243923	35.5	38.2
HiC_scaffold_50	1	52452	27	825	1.57287	0.0327728	34.6	54.1
HiC_scaffold_51	1	52291	190	5259	10.0572	0.456197	35	43.8
HiC_scaffold_52	1	50660	310	24230	47.8287	0.887564	35.4	56.7
HiC_scaffold_53	1	50444	2084	34623	68.6365	6.07559	35.4	56
HiC_scaffold_54	1	50000	630	40771	81.542	1.83476	35.3	59.6
HiC_scaffold_55	1	49402	178	7659	15.5034	0.530748	35.4	42.9
HiC_scaffold_56	1	48994	275	7562	15.4345	0.78626	35.4	44.4
HiC_scaffold_57	1	48961	98	5801	11.8482	0.296215	35.5	40.7
HiC_scaffold_58	1	48913	339	26090	53.3396	1.01456	35.3	51.3
HiC_scaffold_59	1	48516	395	10437	21.5125	1.20309	35.5	46.5
HiC_scaffold_60	1	48449	252	21260	43.8812	0.77176	35.5	52.5
HiC_scaffold_61	1	48102	99	7147	14.858	0.297659	34.9	47.2
HiC_scaffold_62	1	47095	429	29940	63.5736	1.33965	35.5	56.6
HiC_scaffold_63	1	45946	620	26146	56.9059	1.97839	35.2	51
HiC_scaffold_64	1	45702	212	6156	13.4699	0.6296	35.3	46.7
HiC_scaffold_65	1	45164	717	13415	29.7029	2.20067	35.1	44
HiC_scaffold_66	1	45000	2286	10412	23.1378	6.97078	35.2	46.1
HiC_scaffold_67	1	44932	587	8669	19.2936	1.51847	35.3	40.1
HiC_scaffold_68	1	44535	98	8748	19.643	0.329067	35.1	43.3
HiC_scaffold_69	1	43359	286	11801	27.217	0.974999	35.4	41.9
HiC_scaffold_70	1	43000	302	9363	21.7744	0.885465	35.2	41.7
HiC_scaffold_71	1	42000	342	14500	34.5238	1.06052	35.5	47.1
HiC_scaffold_72	1	41780	38	2278	5.45237	0.132647	35	40.9
HiC_scaffold_73	1	41131	33	2023	4.91843	0.112202	34.9	57.4
HiC_scaffold_74	1	41000	176	11870	28.9512	0.626512	35.2	56.3
HiC_scaffold_75	1	40673	194	5647	13.8839	0.702186	35.5	40.8
HiC_scaffold_76	1	40021	250	5388	13.4629	0.843807	35.4	40.2
HiC_scaffold_77	1	40000	48	3670	9.175	0.17275	35.3	54.8
HiC_scaffold_78	1	39995	289	22940	57.3572	1.05981	35.5	54.2
HiC_scaffold_79	1	39987	63	5543	13.862	0.231675	35.4	44
HiC_scaffold_80	1	39907	40	3634	9.10617	0.142206	35.2	52.5
HiC_scaffold_81	1	39785	288	6548	16.4585	0.830966	35	43.7
HiC_scaffold_82	1	39714	2261	11716	29.5009	7.82991	35.1	44.5
HiC_scaffold_83	1	39603	170	13749	34.7171	0.631594	35.5	54
HiC_scaffold_84	1	39032	1179	24305	62.2694	4.20299	35.2	48.9
HiC_scaffold_85	1	38821	301	7688	19.8037	1.08382	35.5	43.8
HiC_scaffold_86	1	38551	216	5184	13.4471	0.694586	35.1	48.4
HiC_scaffold_87	1	38336	270	7722	20.1429	1.03772	35.2	39.5
HiC_scaffold_88	1	38081	196	5747	15.0915	0.717182	35.2	56.5
HiC_scaffold_89	1	37423	90	1537	4.1071	0.330011	35.4	44.1
HiC_scaffold_90	1	37049	409	12375	33.4017	1.63357	35.4	43.5
HiC_scaffold_91	1	37000	398	27813	75.1703	1.55632	35.5	60
HiC_scaffold_92	1	36719	57	4385	11.942	0.225006	34.7	51.9
HiC_scaffold_93	1	36624	340	7131	19.4708	1.21745	35.1	39.9
HiC_scaffold_94	1	36550	147	3625	9.91792	0.594993	35.6	39.1
HiC_scaffold_95	1	35915	986	18344	51.0762	3.75328	34.8	43.5
HiC_scaffold_96	1	35569	256	11319	31.8227	1.06688	35.3	50.6
HiC_scaffold_97	1	35569	164	8142	22.8907	0.62771	35.3	45.8
HiC_scaffold_98	1	35521	256	5812	16.3622	0.817826	35.3	49
HiC_scaffold_99	1	35305	1281	27103	76.7682	4.84725	35.3	57.9
HiC_scaffold_100	1	35285	380	24504	69.4459	1.56347	35.2	57.7
HiC_scaffold_101	1	35090	187	9937	28.3186	0.663893	34.7	52
HiC_scaffold_102	1	34736	86	6966	20.0541	0.36596	35.8	51.2
HiC_scaffold_103	1	34662	877	18096	52.207	3.43414	35.4	41.7
HiC_scaffold_104	1	34539	133	11316	32.763	0.567011	35.3	50.3
HiC_scaffold_105	1	34367	57	4477	13.027	0.237088	34.8	48.5
HiC_scaffold_106	1	34092	10	1018	2.98604	0.0394521	34.8	49.1
HiC_scaffold_107	1	34034	1445	27149	79.7702	6.10269	35.4	58.7
HiC_scaffold_108	1	34000	102	4144	12.1882	0.438824	35.5	41.5
HiC_scaffold_109	1	33013	286	11479	34.7712	1.19035	34.4	42
HiC_scaffold_110	1	32894	34	2250	6.84015	0.145102	35.1	51.9
HiC_scaffold_111	1	32703	80	7777	23.7807	0.362627	36	48
HiC_scaffold_112	1	32055	111	9454	29.4931	0.505007	35.7	52.2
HiC_scaffold_113	1	31996	305	4194	13.1079	0.928835	35	44.1
HiC_scaffold_114	1	31869	191	7451	23.3801	0.740029	35.7	50.4
HiC_scaffold_115	1	31497	161	6881	21.8465	0.744007	35.3	42.3
HiC_scaffold_116	1	31452	172	14885	47.3261	0.811236	35.7	54
HiC_scaffold_117	1	31435	213	17933	57.0479	1.00757	35.5	49.2
HiC_scaffold_118	1	31168	195	13991	44.889	0.917191	35.3	57.2
HiC_scaffold_119	1	31094	27	3001	9.65138	0.128481	36	45.9
HiC_scaffold_120	1	31000	98	8692	28.0387	0.471742	35.3	47.3
HiC_scaffold_121	1	30892	62	3997	12.9386	0.299366	35	41.4
HiC_scaffold_122	1	30671	299	7090	23.1163	1.45499	35.4	39.4
HiC_scaffold_123	1	30159	377	24792	82.2043	1.82513	35.3	59.9
HiC_scaffold_124	1	30112	10	1151	3.8224	0.0484857	35.9	42.8
HiC_scaffold_125	1	30000	104	2891	9.63667	0.511467	35.5	38.7
HiC_scaffold_126	1	30000	79	5910	19.7	0.38	35.2	46.9
HiC_scaffold_127	1	29632	350	5077	17.1335	1.53584	35.3	43.2
HiC_scaffold_128	1	29216	104	8195	28.0497	0.521632	35.6	49.6
HiC_scaffold_129	1	29000	34	2356	8.12414	0.15731	35.5	46.2
HiC_scaffold_130	1	28743	14	1311	4.56111	0.0724698	36.1	57.1
HiC_scaffold_131	1	28267	565	8991	31.8074	2.98313	35.5	40.2
HiC_scaffold_132	1	28006	220	5897	21.0562	1.15022	35.2	42
HiC_scaffold_133	1	27859	108	10239	36.7529	0.562511	35.2	55
HiC_scaffold_134	1	27837	339	22751	81.7294	1.78011	35.4	59.8
HiC_scaffold_135	1	27503	180	5737	20.8595	0.970294	35.1	38.3
HiC_scaffold_136	1	27405	344	22845	83.3607	1.84167	35.4	59.9
HiC_scaffold_137	1	27128	4	600	2.21174	0.0221174	35.4	42.8
HiC_scaffold_138	1	27000	106	8778	32.5111	0.570519	35.8	50.9
HiC_scaffold_139	1	26958	36	2444	9.06595	0.195601	35.1	50.9
HiC_scaffold_140	1	26822	59	2627	9.7942	0.30941	35.6	45.6
HiC_scaffold_141	1	26714	610	10394	38.9084	3.20974	35.3	44.1
HiC_scaffold_142	1	26597	350	11685	43.9335	1.83686	35.2	45.6
HiC_scaffold_143	1	26526	45	2675	10.0844	0.230114	34.4	49.6
HiC_scaffold_144	1	26403	147	3490	13.2182	0.827217	35	42.4
HiC_scaffold_145	1	26321	433	12493	47.464	2.40834	35.2	41.9
HiC_scaffold_146	1	26302	199	3418	12.9952	0.987682	34.7	39.3
HiC_scaffold_147	1	26228	105	5353	20.4095	0.589408	35.5	51
HiC_scaffold_148	1	26220	369	5614	21.4111	2.10019	35.4	38.4
HiC_scaffold_149	1	26169	70	5961	22.7789	0.389354	35.4	50.8
HiC_scaffold_150	1	26140	288	20879	79.8738	1.62552	35.3	59.9
HiC_scaffold_151	1	25970	70	4573	17.6088	0.391837	35.1	38
HiC_scaffold_152	1	25914	52	3191	12.3138	0.27051	34.6	42.5
HiC_scaffold_153	1	25756	44	3744	14.5364	0.254232	35.8	45.1
HiC_scaffold_154	1	25701	100	7319	28.4775	0.571573	35.4	52.8
HiC_scaffold_155	1	25484	585	12490	49.0111	3.33268	35.3	43
HiC_scaffold_156	1	25347	1086	13159	51.9154	5.86069	34.9	43.1
HiC_scaffold_157	1	25300	168	5956	23.5415	0.97751	35	42.9
HiC_scaffold_158	1	25137	569	11389	45.3077	3.24474	35.2	40.5
HiC_scaffold_159	1	25068	47	2935	11.7082	0.273217	35.3	45.8
HiC_scaffold_160	1	25021	203	15185	60.689	1.15095	35.7	55.6
HiC_scaffold_161	1	25021	37	2973	11.882	0.221734	35.1	50.1
HiC_scaffold_162	1	25013	356	1678	6.70851	1.62543	35.3	43.5
HiC_scaffold_163	1	25000	14	885	3.54	0.08392	35	37.4
HiC_scaffold_164	1	25000	14	804	3.216	0.0838	32.4	36.1
HiC_scaffold_165	1	25000	16	1026	4.104	0.09404	35	37
HiC_scaffold_166	1	25000	79	1918	7.672	0.45956	35.1	37.9
HiC_scaffold_167	1	25000	274	19198	76.792	1.55708	35.1	58.5
HiC_scaffold_168	1	25000	312	20967	83.868	1.81508	35.2	60
HiC_scaffold_169	1	25000	257	18053	72.212	1.49756	35.2	58.8
HiC_scaffold_170	1	25000	298	19956	79.824	1.7508	35.3	60
HiC_scaffold_171	1	25000	290	19813	79.252	1.70516	35.5	59.9
HiC_scaffold_172	1	25000	254	18389	73.556	1.49096	35.4	59.8
HiC_scaffold_173	1	25000	277	19048	76.192	1.60984	35.4	60
HiC_scaffold_174	1	25000	277	19868	79.472	1.59068	35.1	59.9
HiC_scaffold_175	1	25000	325	21569	86.276	1.90076	35.4	60
HiC_scaffold_176	1	25000	283	18807	75.228	1.64164	35.3	59.2
HiC_scaffold_177	1	25000	278	18591	74.364	1.60952	35.5	59.9
HiC_scaffold_178	1	25000	286	19943	79.772	1.64152	34.9	59.3
HiC_scaffold_179	1	25000	293	20030	80.12	1.69696	35.5	59.9
HiC_scaffold_180	1	25000	231	13822	55.288	1.35216	35.5	57.7
HiC_scaffold_181	1	25000	288	20474	81.896	1.68448	35.8	60
HiC_scaffold_182	1	25000	275	19507	78.028	1.58072	35	59.9
HiC_scaffold_183	1	25000	104	3958	15.832	0.58664	35.7	42.7
HiC_scaffold_184	1	25000	289	20188	80.752	1.70316	35.6	60
HiC_scaffold_185	1	25000	762	24400	97.6	4.40832	35.3	59.8
HiC_scaffold_186	1	25000	321	20716	82.864	1.88724	35.5	60
HiC_scaffold_187	1	25000	14	1348	5.392	0.08188	34.9	53.4
HiC_scaffold_188	1	24887	135	4470	17.9612	0.724274	35	42.7
HiC_scaffold_189	1	24881	614	14248	57.2646	2.80897	35.3	44.2
HiC_scaffold_190	1	24860	183	12681	51.0097	1.06935	35.4	57
HiC_scaffold_191	1	24785	128	11066	44.648	0.76627	35.7	47.8
HiC_scaffold_192	1	24606	32	2100	8.5345	0.181257	35.4	43
HiC_scaffold_193	1	24582	236	2985	12.143	1.39476	35.2	44.3
HiC_scaffold_194	1	24552	725	13361	54.4192	4.09197	35.1	47.2
HiC_scaffold_195	1	24515	60	5405	22.0477	0.352845	35.4	52.8
HiC_scaffold_196	1	24429	94	4988	20.4184	0.52102	35.6	52.5
HiC_scaffold_197	1	24404	127	6710	27.4955	0.768481	35.2	51
HiC_scaffold_198	1	24065	206	14564	60.5194	1.26416	35.3	55.1
HiC_scaffold_199	1	24034	70	6220	25.88	0.434426	35.9	48.2
HiC_scaffold_200	1	24000	19	1253	5.22083	0.105458	35.9	52.1
HiC_scaffold_201	1	24000	702	4777	19.9042	4.35008	35.3	45.8
HiC_scaffold_202	1	23940	244	4571	19.0936	1.42836	35.3	39.6
HiC_scaffold_203	1	23878	45	1896	7.94036	0.271631	35.6	39.7
HiC_scaffold_204	1	23813	73	6498	27.2876	0.442111	35.4	51.8
