#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	485934	41290972	55.0179	0.92506	35.2	59
HiC_scaffold_2	1	56816963	382810	32064469	56.4347	0.964019	35.2	59.1
HiC_scaffold_3	1	109611085	681457	58474741	53.3475	0.88976	35.2	58.6
HiC_scaffold_4	1	81599725	525275	44559083	54.6069	0.919796	35.2	59
HiC_scaffold_5	1	72353455	477887	40401160	55.8386	0.944114	35.2	59.2
HiC_scaffold_6	1	67692486	444915	37591843	55.5333	0.939555	35.2	59.1
HiC_scaffold_7	1	59159807	391831	32776090	55.4026	0.945914	35.2	58.9
HiC_scaffold_8	1	13479537	49565	5135889	38.1014	0.529087	35.3	59.4
HiC_scaffold_9	1	58964884	405765	33678086	57.1155	0.984893	35.2	59
HiC_scaffold_10	1	36732878	257008	21042411	57.285	1.00241	35.2	59
HiC_scaffold_11	1	27384	188	5053	18.4524	0.999708	35.1	42.6
HiC_scaffold_12	1	33592	1483	6953	20.6984	5.78147	34.9	45.2
HiC_scaffold_13	1	184337	4452	131700	71.4452	3.34182	35.1	52.2
HiC_scaffold_14	1	85992	2901	43503	50.5896	4.68068	34.8	45.5
HiC_scaffold_15	1	87022	851	23977	27.5528	1.34025	35.2	46.3
HiC_scaffold_16	1	89609	1943	9077	10.1296	2.27121	35.6	49.4
HiC_scaffold_17	1	164154	1229	29909	18.2201	1.07525	35.2	50.9
HiC_scaffold_18	1	104921	387	33839	32.2519	0.524013	35.3	52.4
HiC_scaffold_19	1	103720	286	24553	23.6724	0.402478	35.1	48
HiC_scaffold_20	1	90353	529	23722	26.2548	0.810078	34.9	47.6
HiC_scaffold_21	1	85252	271	20051	23.5197	0.457115	35.3	46.5
HiC_scaffold_22	1	80500	348	19857	24.6671	0.633938	35.2	47.9
HiC_scaffold_23	1	75743	246	18386	24.2742	0.474473	35.7	53.6
HiC_scaffold_24	1	75592	711	14022	18.5496	1.32847	35.2	42.9
HiC_scaffold_25	1	72691	1337	35500	48.8369	2.61722	35.2	53.6
HiC_scaffold_26	1	71458	324	24079	33.6967	0.656791	35.4	47.2
HiC_scaffold_27	1	70045	2078	42504	60.681	4.12899	35.1	50.5
HiC_scaffold_28	1	68558	89	4805	7.00866	0.186878	34.8	55.3
HiC_scaffold_29	1	68222	729	17722	25.977	1.57745	35.3	44.3
HiC_scaffold_30	1	67017	370	27508	41.0463	0.801588	34.9	48.8
HiC_scaffold_31	1	65972	21	2570	3.89559	0.0474292	34.7	41
HiC_scaffold_32	1	64000	416	24275	37.9297	0.860688	35.2	48.2
HiC_scaffold_33	1	62684	399	13014	20.7613	0.767086	35.3	40.9
HiC_scaffold_34	1	60035	343	25345	42.217	0.785392	35.2	55.3
HiC_scaffold_35	1	59483	49	5926	9.96251	0.116622	35.2	51.4
HiC_scaffold_36	1	58601	531	4606	7.85993	1.31738	34.8	42.1
HiC_scaffold_37	1	57907	87	7196	12.4268	0.203896	35.5	49.6
HiC_scaffold_38	1	57623	119	2675	4.64224	0.2583	35.2	39.5
HiC_scaffold_39	1	56881	628	16707	29.3718	1.25706	35.2	46.1
HiC_scaffold_40	1	56115	343	7341	13.0821	0.783605	35.3	39
HiC_scaffold_41	1	55753	748	22307	40.0104	1.92919	35.1	42.1
HiC_scaffold_42	1	55361	42	2825	5.10287	0.112227	35.4	48
HiC_scaffold_43	1	55333	381	8599	15.5405	0.943578	34.9	39.7
HiC_scaffold_44	1	54697	1498	44125	80.6717	4.00728	35.3	55.4
HiC_scaffold_45	1	54079	59	2949	5.45313	0.120583	35.3	46.2
HiC_scaffold_46	1	53000	219	8291	15.6434	0.592453	35.2	40.4
HiC_scaffold_47	1	52728	1515	15695	29.766	4.02092	35	46.3
HiC_scaffold_48	1	52696	142	14181	26.911	0.390087	35.3	53.7
HiC_scaffold_49	1	52574	69	4681	8.90364	0.192719	35.1	38.5
HiC_scaffold_50	1	52452	24	752	1.43369	0.0201899	36.2	51.2
HiC_scaffold_51	1	52291	117	6887	13.1705	0.308351	35.6	48.3
HiC_scaffold_52	1	50660	150	15942	31.4686	0.427517	35.2	55.1
HiC_scaffold_53	1	50444	949	29726	58.9287	2.73323	35.1	55.5
HiC_scaffold_54	1	50000	532	37290	74.58	1.50714	35.1	59.8
HiC_scaffold_55	1	49402	63	4366	8.8377	0.182503	34.6	42.6
HiC_scaffold_56	1	48994	95	4963	10.1298	0.264828	35.3	43
HiC_scaffold_57	1	48961	135	5824	11.8952	0.409979	35.3	39.4
HiC_scaffold_58	1	48913	177	16667	34.0748	0.530575	35.2	50.6
HiC_scaffold_59	1	48516	630	11431	23.5613	1.92236	35.4	47.7
HiC_scaffold_60	1	48449	238	23041	47.5572	0.7305	35.3	51.6
HiC_scaffold_61	1	48102	332	8491	17.6521	0.998212	35	43.5
HiC_scaffold_62	1	47095	270	24854	52.7742	0.844527	35.5	55.9
HiC_scaffold_63	1	45946	318	20946	45.5883	1.01404	35.3	53.8
HiC_scaffold_64	1	45702	97	3739	8.18126	0.279156	35.1	45.7
HiC_scaffold_65	1	45164	149	7425	16.4401	0.457422	34.9	41.1
HiC_scaffold_66	1	45000	1797	9054	20.12	5.50191	34.9	45.2
HiC_scaffold_67	1	44932	408	8321	18.5191	1.06456	35.3	41.1
HiC_scaffold_68	1	44535	35	3826	8.591	0.111171	34.8	44.5
HiC_scaffold_69	1	43359	227	11492	26.5043	0.770936	35.1	43.4
HiC_scaffold_70	1	43000	231	8776	20.4093	0.695977	35.3	40.1
HiC_scaffold_71	1	42000	248	12634	30.081	0.789024	35.3	50.4
HiC_scaffold_72	1	41780	65	3272	7.8315	0.229847	35	39.2
HiC_scaffold_73	1	41131	46	4415	10.734	0.161046	35.5	44.7
HiC_scaffold_74	1	41000	147	10738	26.1902	0.53261	35.8	55.9
HiC_scaffold_75	1	40673	104	5093	12.5218	0.363214	35.4	43.4
HiC_scaffold_76	1	40021	133	4485	11.2066	0.459584	35.2	41.4
HiC_scaffold_77	1	40000	75	5344	13.36	0.262625	35.4	46.8
HiC_scaffold_78	1	39995	97	10428	26.0733	0.350394	35.1	49.7
