#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	650208	50910132	67.8349	1.26734	35.4	59.2
HiC_scaffold_2	1	56816963	493119	38582369	67.9064	1.26929	35.4	59.2
HiC_scaffold_3	1	109611085	917196	72315884	65.975	1.22483	35.4	58.7
HiC_scaffold_4	1	81599725	699261	54848065	67.216	1.25382	35.4	59.1
HiC_scaffold_5	1	72353455	633510	49474221	68.3785	1.28147	35.4	59.3
HiC_scaffold_6	1	67692486	590149	46018881	67.9823	1.27548	35.4	59.2
HiC_scaffold_7	1	59159807	514330	39966089	67.5562	1.27061	35.4	59
HiC_scaffold_8	1	13479537	61260	6203291	46.0201	0.667505	35.4	59.4
HiC_scaffold_9	1	58964884	515996	40018513	67.8684	1.27939	35.4	59.1
HiC_scaffold_10	1	36732878	319819	24718670	67.293	1.27065	35.4	59
HiC_scaffold_11	1	27384	152	5644	20.6106	0.794588	35.2	46.7
HiC_scaffold_12	1	33592	2858	7539	22.4428	11.3104	34.9	45.7
HiC_scaffold_13	1	184337	4966	141699	76.8695	3.81565	35.4	52.8
HiC_scaffold_14	1	85992	2029	46565	54.1504	3.28889	34.8	44.4
HiC_scaffold_15	1	87022	791	25203	28.9616	1.25631	34.9	46.9
HiC_scaffold_16	1	89609	1682	7724	8.61967	2.01976	35.6	51
HiC_scaffold_17	1	164154	1538	48678	29.6539	1.36095	35.3	53.3
HiC_scaffold_18	1	104921	326	33604	32.0279	0.458192	35.3	52.5
HiC_scaffold_19	1	103720	379	29029	27.9879	0.528355	35.4	48.8
HiC_scaffold_20	1	90353	480	24620	27.2487	0.766206	35.2	49.6
HiC_scaffold_21	1	85252	273	21453	25.1642	0.467015	35.2	47.7
HiC_scaffold_22	1	80500	319	20590	25.5776	0.585366	35.4	50
HiC_scaffold_23	1	75743	295	20806	27.4692	0.570099	35.1	54.5
HiC_scaffold_24	1	75592	1062	18043	23.8689	1.97091	35.3	43.2
HiC_scaffold_25	1	72691	889	33866	46.589	1.76403	35.2	54
HiC_scaffold_26	1	71458	567	33094	46.3125	1.15346	35.5	46.8
HiC_scaffold_27	1	70045	2056	51919	74.1223	4.14012	35.2	51.9
HiC_scaffold_28	1	68558	32	3019	4.40357	0.068876	35.8	54.4
HiC_scaffold_29	1	68222	581	14237	20.8686	1.26358	35.3	44.6
HiC_scaffold_30	1	67017	528	33725	50.3231	1.15836	35.2	47.4
HiC_scaffold_31	1	65972	58	6972	10.5681	0.130555	35.1	47.4
HiC_scaffold_32	1	64000	473	30454	47.5844	1.03477	35.5	49.5
HiC_scaffold_33	1	62684	456	16328	26.0481	0.931498	35.1	42.2
HiC_scaffold_34	1	60035	382	26552	44.2275	0.8859	35.5	55.3
HiC_scaffold_35	1	59483	97	9670	16.2567	0.241212	35.2	50.5
HiC_scaffold_36	1	58601	1126	6040	10.307	2.81702	35.1	50.4
HiC_scaffold_37	1	57907	135	10467	18.0755	0.337748	35.7	50.9
HiC_scaffold_38	1	57623	111	2265	3.93072	0.260695	34.7	37.5
HiC_scaffold_39	1	56881	464	18971	33.3521	0.939822	35.3	48.5
HiC_scaffold_40	1	56115	310	6522	11.6226	0.681297	35.5	38.6
HiC_scaffold_41	1	55753	439	19904	35.7003	1.1316	34.9	42.2
HiC_scaffold_42	1	55361	74	4164	7.52154	0.19418	35.3	48.3
HiC_scaffold_43	1	55333	394	10169	18.3778	1.00898	35.1	40.7
HiC_scaffold_44	1	54697	1373	46560	85.1235	3.70413	35.5	55.7
HiC_scaffold_45	1	54079	61	2865	5.29781	0.128645	35.4	47.8
HiC_scaffold_46	1	53000	152	6438	12.1472	0.422075	35.4	39.5
HiC_scaffold_47	1	52728	880	17423	33.0432	2.36967	34.9	47.2
HiC_scaffold_48	1	52696	114	9152	17.3675	0.310764	35.3	49.3
HiC_scaffold_49	1	52574	61	3955	7.52273	0.173032	35.3	40.8
HiC_scaffold_50	1	52452	13	338	0.644399	0.00978037	35.6	53.2
HiC_scaffold_51	1	52291	98	5051	9.65941	0.244459	35.5	49
HiC_scaffold_52	1	50660	351	27572	54.4256	1.02246	35.4	56.9
HiC_scaffold_53	1	50444	896	28040	55.5864	2.61329	35.4	55.9
HiC_scaffold_54	1	50000	477	36920	73.84	1.39636	35.3	59.8
HiC_scaffold_55	1	49402	56	3843	7.77904	0.163657	35.6	42.8
HiC_scaffold_56	1	48994	81	4558	9.30318	0.233559	35.8	42
HiC_scaffold_57	1	48961	68	5441	11.1129	0.203611	35	41.8
HiC_scaffold_58	1	48913	260	20484	41.8784	0.779813	35.8	49.1
HiC_scaffold_59	1	48516	415	12849	26.484	1.27214	35.4	47.8
HiC_scaffold_60	1	48449	226	19925	41.1257	0.692089	35.5	52.4
HiC_scaffold_61	1	48102	156	8353	17.3652	0.45732	35.4	48.5
HiC_scaffold_62	1	47095	324	27088	57.5178	1.01873	35.4	56.8
HiC_scaffold_63	1	45946	457	24835	54.0526	1.47582	35.4	52.6
HiC_scaffold_64	1	45702	143	5665	12.3955	0.434379	34.8	45.5
HiC_scaffold_65	1	45164	470	12367	27.3824	1.44509	35	42.1
HiC_scaffold_66	1	45000	1662	9786	21.7467	5.1382	35.2	47.4
HiC_scaffold_67	1	44932	608	8208	18.2676	1.74163	35.2	42.1
HiC_scaffold_68	1	44535	21	2566	5.76176	0.0644212	35.5	46.7
HiC_scaffold_69	1	43359	203	11111	25.6256	0.686478	35.6	44.1
HiC_scaffold_70	1	43000	206	8339	19.393	0.610047	35.5	42
HiC_scaffold_71	1	42000	193	11440	27.2381	0.616619	35.3	49
HiC_scaffold_72	1	41780	23	2562	6.13212	0.0812111	34.8	39.9
HiC_scaffold_73	1	41131	67	4272	10.3863	0.23836	35.9	46.8
HiC_scaffold_74	1	41000	126	9800	23.9024	0.439195	35.1	55.2
HiC_scaffold_75	1	40673	172	6085	14.9608	0.613798	35.3	41.9
HiC_scaffold_76	1	40021	131	4640	11.5939	0.441218	35.5	40
HiC_scaffold_77	1	40000	33	3842	9.605	0.11865	34.6	50.4
HiC_scaffold_78	1	39995	130	13940	34.8544	0.482985	35.5	51.4
HiC_scaffold_79	1	39987	34	3831	9.58061	0.125916	35.7	42.9
HiC_scaffold_80	1	39907	39	3683	9.22896	0.143408	35.5	57.5
HiC_scaffold_81	1	39785	242	5919	14.8775	0.754103	35.3	45.9
HiC_scaffold_82	1	39714	1031	9723	24.4826	3.62187	35.1	44.7
HiC_scaffold_83	1	39603	94	8467	21.3797	0.348054	35.4	55.3
HiC_scaffold_84	1	39032	918	21784	55.8106	3.27495	35.1	48.3
HiC_scaffold_85	1	38821	242	9618	24.7753	0.893666	35.5	44.5
HiC_scaffold_86	1	38551	148	3639	9.43944	0.469249	34.9	46.1
HiC_scaffold_87	1	38336	160	6227	16.2432	0.624922	35.3	40.7
HiC_scaffold_88	1	38081	131	5800	15.2307	0.495759	35.4	57.2
HiC_scaffold_89	1	37423	84	1572	4.20063	0.320819	34.8	42.5
HiC_scaffold_90	1	37049	269	9838	26.554	1.06942	35.5	42.1
HiC_scaffold_91	1	37000	292	24856	67.1784	1.15459	35.4	59.7
HiC_scaffold_92	1	36719	36	3571	9.72521	0.144966	35.1	51.6
HiC_scaffold_93	1	36624	231	5936	16.208	0.834262	35.3	41.3
HiC_scaffold_94	1	36550	110	2691	7.36252	0.449767	35.5	38.4
HiC_scaffold_95	1	35915	571	15376	42.8122	2.21498	34.7	42.9
