#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	862410	55844870	74.4102	1.6568	35.6	59
HiC_scaffold_2	1	56816963	654773	42354877	74.5462	1.66018	35.6	59
HiC_scaffold_3	1	109611085	1181657	77750820	70.9334	1.55461	35.6	58.6
HiC_scaffold_4	1	81599725	922671	59912340	73.4222	1.62963	35.6	59
HiC_scaffold_5	1	72353455	843611	54499968	75.3246	1.6815	35.6	59.1
HiC_scaffold_6	1	67692486	786595	50693557	74.888	1.67596	35.6	59
HiC_scaffold_7	1	59159807	676121	43517607	73.5594	1.64551	35.5	58.9
HiC_scaffold_8	1	13479537	162491	10343685	76.7362	1.7518	35.5	59.4
HiC_scaffold_9	1	58964884	685301	44000194	74.621	1.67541	35.5	59
HiC_scaffold_10	1	36732878	422905	26903322	73.2404	1.65599	35.5	58.8
HiC_scaffold_11	1	27384	157	4654	16.9953	0.827308	35.3	43.9
HiC_scaffold_12	1	33592	1552	9507	28.3014	6.17123	35.1	45.2
HiC_scaffold_13	1	184337	5643	143864	78.044	4.37007	35.5	55.2
HiC_scaffold_14	1	85992	1439	37098	43.1412	2.3004	35.1	42.9
HiC_scaffold_15	1	87022	985	20127	23.1286	1.53369	35.1	43.9
HiC_scaffold_16	1	89609	4848	11032	12.3113	5.86622	35.7	50.8
HiC_scaffold_17	1	164154	3022	66563	40.5491	2.64394	35.4	48.7
HiC_scaffold_18	1	104921	201	10498	10.0056	0.264704	35.3	44.5
HiC_scaffold_19	1	103720	638	31933	30.7877	0.862813	35.4	46.3
HiC_scaffold_20	1	90353	944	25515	28.2392	1.44249	35.1	47.3
HiC_scaffold_21	1	85252	277	14926	17.5081	0.443086	35.3	46.1
HiC_scaffold_22	1	80500	298	19411	24.113	0.54405	35.6	51.5
HiC_scaffold_23	1	75743	419	19602	25.8796	0.799704	35.5	51.7
HiC_scaffold_24	1	75592	1757	20987	27.7635	3.28389	35.3	42.1
HiC_scaffold_25	1	72691	1372	33043	45.4568	2.71931	35.4	53.5
HiC_scaffold_26	1	71458	902	32456	45.4197	1.80701	35.5	44.3
HiC_scaffold_27	1	70045	2442	52726	75.2745	4.97887	35.4	53.3
HiC_scaffold_28	1	68558	100	5052	7.36894	0.201085	35.3	52.6
HiC_scaffold_29	1	68222	648	16209	23.7592	1.40333	35.5	46.9
HiC_scaffold_30	1	67017	623	26814	40.0107	1.35108	35.3	45.5
HiC_scaffold_31	1	65972	54	5459	8.27472	0.119369	34.9	45.1
HiC_scaffold_32	1	64000	795	33201	51.8766	1.67919	35.5	47.8
HiC_scaffold_33	1	62684	606	15212	24.2678	1.19223	35.5	40.5
HiC_scaffold_34	1	60035	397	27628	46.0198	0.896077	35.4	55.2
