#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	741173	53454224	71.2248	1.43761	35.6	59.2
HiC_scaffold_2	1	56816963	564878	40554976	71.3783	1.44543	35.6	59.2
HiC_scaffold_3	1	109611085	1041415	75870957	69.2183	1.38342	35.6	58.8
HiC_scaffold_4	1	81599725	799974	57672070	70.6768	1.42668	35.6	59.1
HiC_scaffold_5	1	72353455	721114	51931276	71.7744	1.45106	35.6	59.3
HiC_scaffold_6	1	67692486	675841	48403004	71.5042	1.45309	35.6	59.2
HiC_scaffold_7	1	59159807	583722	41907649	70.838	1.43453	35.6	59.1
HiC_scaffold_8	1	13479537	137236	9796031	72.6733	1.48796	35.6	59.5
HiC_scaffold_9	1	58964884	586574	42020209	71.2631	1.44644	35.6	59.1
HiC_scaffold_10	1	36732878	364072	25985463	70.7417	1.43969	35.5	59
HiC_scaffold_11	1	27384	259	6923	25.2812	1.3704	35.1	43.9
HiC_scaffold_12	1	33592	1293	8086	24.0712	5.0465	35.2	45
HiC_scaffold_13	1	184337	7149	143059	77.6073	5.3503	35.6	51.5
HiC_scaffold_14	1	85992	2916	47808	55.5959	4.67639	34.9	45.8
HiC_scaffold_15	1	87022	928	23304	26.7794	1.45699	35.4	45.8
HiC_scaffold_16	1	89609	4731	12742	14.2196	5.75919	35.7	51
HiC_scaffold_17	1	164154	5144	70476	42.9329	4.52349	35.4	51.2
HiC_scaffold_18	1	104921	751	54334	51.7856	1.04695	35.5	54.5
HiC_scaffold_19	1	103720	467	33830	32.6167	0.647551	35.5	46.5
HiC_scaffold_20	1	90353	693	31644	35.0226	1.08886	35.1	50.1
HiC_scaffold_21	1	85252	461	25899	30.3793	0.75305	35.5	48.6
HiC_scaffold_22	1	80500	494	23455	29.1366	0.893789	35.6	47.6
HiC_scaffold_23	1	75743	362	21045	27.7847	0.693463	35.4	52.3
HiC_scaffold_24	1	75592	1412	17042	22.5447	2.64355	35.4	42.8
HiC_scaffold_25	1	72691	1463	36137	49.7132	2.83965	35.5	53
HiC_scaffold_26	1	71458	688	36144	50.5808	1.39469	35.5	47.5
HiC_scaffold_27	1	70045	2522	49977	71.3498	5.09962	35.4	53
HiC_scaffold_28	1	68558	103	5947	8.67441	0.194419	34.6	53
HiC_scaffold_29	1	68222	1213	19336	28.3428	2.644	35.5	44.3
HiC_scaffold_30	1	67017	777	34493	51.469	1.68644	35.2	44.7
HiC_scaffold_31	1	65972	47	5492	8.32474	0.105454	35.8	44.1
HiC_scaffold_32	1	64000	616	30312	47.3625	1.262	35.5	50.1
HiC_scaffold_33	1	62684	576	17728	28.2815	1.14706	35.4	41.5
HiC_scaffold_34	1	60035	391	27142	45.2103	0.863763	35.7	54.3
HiC_scaffold_35	1	59483	79	8980	15.0968	0.196375	35.6	50.1
HiC_scaffold_36	1	58601	1855	6860	11.7063	4.65646	35.3	51.7
HiC_scaffold_37	1	57907	143	8730	15.0759	0.338577	35.5	48
HiC_scaffold_38	1	57623	321	3485	6.04793	0.744529	35.4	38.9
HiC_scaffold_39	1	56881	869	18075	31.7769	1.67845	35.4	48.3
HiC_scaffold_40	1	56115	636	10149	18.0861	1.44578	35.5	39.2
HiC_scaffold_41	1	55753	703	20969	37.6105	1.79858	35.3	41.1
HiC_scaffold_42	1	55361	112	3696	6.67618	0.292643	35.3	43.4
HiC_scaffold_43	1	55333	824	12667	22.8923	2.11499	35.1	39.2
HiC_scaffold_44	1	54697	1656	43309	79.1798	4.44642	35.6	56.1
HiC_scaffold_45	1	54079	124	3759	6.95094	0.242848	35.9	45.3
HiC_scaffold_46	1	53000	247	7067	13.334	0.678264	35.4	40.7
HiC_scaffold_47	1	52728	964	18843	35.7362	2.5755	35.1	47.5
HiC_scaffold_48	1	52696	342	21194	40.2194	0.951325	35.8	53.5
HiC_scaffold_49	1	52574	145	5617	10.684	0.402233	35.1	38.6
HiC_scaffold_50	1	52452	56	1493	2.84641	0.0648593	35.7	52.6
HiC_scaffold_51	1	52291	337	8390	16.0448	0.840948	35.6	45.4
HiC_scaffold_52	1	50660	335	27189	53.6696	0.969128	35.5	57.2
HiC_scaffold_53	1	50444	1308	32168	63.7697	3.83395	35.6	56.2
HiC_scaffold_54	1	50000	493	36199	72.398	1.43552	35.6	59.6
HiC_scaffold_55	1	49402	213	7545	15.2727	0.63461	35.4	44.4
HiC_scaffold_56	1	48994	232	7970	16.2673	0.670715	35.6	42.4
HiC_scaffold_57	1	48961	81	4651	9.4994	0.245113	35.7	42.2
HiC_scaffold_58	1	48913	206	19497	39.8606	0.618097	35.7	51.2
HiC_scaffold_59	1	48516	314	14315	29.5057	0.955664	35.5	48.3
HiC_scaffold_60	1	48449	284	25685	53.0145	0.864414	35.6	53.1
HiC_scaffold_61	1	48102	223	8923	18.5502	0.671718	35.2	44.8
HiC_scaffold_62	1	47095	408	31730	67.3745	1.2744	35.7	56.4
HiC_scaffold_63	1	45946	510	24099	52.4507	1.6241	35.6	53.1
HiC_scaffold_64	1	45702	235	6139	13.4327	0.677191	35.5	45.5
HiC_scaffold_65	1	45164	503	14052	31.1133	1.55203	35.5	44.2
HiC_scaffold_66	1	45000	2111	10325	22.9444	6.52658	35.2	45.9
HiC_scaffold_67	1	44932	950	11520	25.6387	2.63229	35.3	42.2
HiC_scaffold_68	1	44535	43	3690	8.28562	0.141394	34.5	40.7
HiC_scaffold_69	1	43359	401	13774	31.7673	1.35151	35.5	42.9
HiC_scaffold_70	1	43000	377	10594	24.6372	1.07451	35.4	40.3
HiC_scaffold_71	1	42000	454	13016	30.9905	1.32324	35.6	45.9
HiC_scaffold_72	1	41780	39	2212	5.2944	0.135759	35.9	41.1
HiC_scaffold_73	1	41131	36	3357	8.16173	0.130267	35.3	48.2
HiC_scaffold_74	1	41000	168	11939	29.1195	0.598146	35.4	55.2
HiC_scaffold_75	1	40673	167	3759	9.242	0.610012	35.7	39.6
HiC_scaffold_76	1	40021	286	6066	15.157	0.954549	35.2	41
HiC_scaffold_77	1	40000	56	4141	10.3525	0.206775	35.1	53.8
HiC_scaffold_78	1	39995	256	20846	52.1215	0.933317	35.9	53.2
HiC_scaffold_79	1	39987	113	7437	18.5985	0.41516	35.5	46.4
HiC_scaffold_80	1	39907	55	4212	10.5545	0.196707	35.3	54.4
HiC_scaffold_81	1	39785	369	6544	16.4484	1.11979	35.3	43.6
HiC_scaffold_82	1	39714	1880	11946	30.0801	6.64458	35.2	44
HiC_scaffold_83	1	39603	124	9809	24.7683	0.459359	35.8	52.9
HiC_scaffold_84	1	39032	1610	25256	64.7059	5.80839	35.4	48.7
HiC_scaffold_85	1	38821	420	8311	21.4085	1.55292	35.4	43.7
HiC_scaffold_86	1	38551	273	5687	14.7519	0.883583	35.2	47.5
HiC_scaffold_87	1	38336	137	5971	15.5754	0.521625	35.6	42.3
HiC_scaffold_88	1	38081	205	6805	17.8698	0.764896	35.5	55.1
HiC_scaffold_89	1	37423	151	1867	4.98891	0.531224	35.3	45
HiC_scaffold_90	1	37049	508	11255	30.3787	2.03153	35.6	41.8
HiC_scaffold_91	1	37000	454	29710	80.2973	1.77741	35.6	59.8
HiC_scaffold_92	1	36719	40	3238	8.81832	0.157929	36.2	52.8
HiC_scaffold_93	1	36624	404	6861	18.7336	1.45066	35.5	40.1
HiC_scaffold_94	1	36550	108	2929	8.01368	0.436662	35.7	38.9
HiC_scaffold_95	1	35915	718	16257	45.2652	2.77519	35.1	43.8
HiC_scaffold_96	1	35569	309	10459	29.4048	1.28353	35.8	45.5
HiC_scaffold_97	1	35569	193	6342	17.8301	0.74281	35.1	48.3
HiC_scaffold_98	1	35521	298	5263	14.8166	0.917373	35.6	46.8
HiC_scaffold_99	1	35305	1030	22831	64.6679	3.82076	35.4	57.7
HiC_scaffold_100	1	35285	355	24541	69.5508	1.47476	35.6	57.5
HiC_scaffold_101	1	35090	157	10633	30.3021	0.559675	34.7	52.5
HiC_scaffold_102	1	34736	76	5565	16.0208	0.322259	36	48.3
HiC_scaffold_103	1	34662	773	16269	46.9361	3.00756	35.5	41.6
HiC_scaffold_104	1	34539	107	10136	29.3465	0.45149	35.6	49.7
HiC_scaffold_105	1	34367	101	5834	16.9756	0.434865	35.6	47.7
HiC_scaffold_106	1	34092	11	623	1.82741	0.041916	36	49.2
HiC_scaffold_107	1	34034	856	28668	84.2334	3.60551	35.6	58.3
HiC_scaffold_108	1	34000	190	4828	14.2	0.817088	35.5	40.8
HiC_scaffold_109	1	33013	296	10372	31.4179	1.19504	34.8	41.9
HiC_scaffold_110	1	32894	37	2262	6.87663	0.150879	34.5	50
HiC_scaffold_111	1	32703	69	6900	21.099	0.31251	35.3	49.2
HiC_scaffold_112	1	32055	118	8411	26.2393	0.541132	35.4	52.8
HiC_scaffold_113	1	31996	329	3849	12.0296	0.989092	35.7	44.6
HiC_scaffold_114	1	31869	237	7776	24.3999	0.941699	35.5	48.9
HiC_scaffold_115	1	31497	257	9566	30.3711	1.12808	35.3	42.8
HiC_scaffold_116	1	31452	180	14511	46.137	0.834605	35.7	55.1
HiC_scaffold_117	1	31435	185	16174	51.4522	0.874408	35.7	51.2
HiC_scaffold_118	1	31168	208	15217	48.8225	0.946901	35	56.5
HiC_scaffold_119	1	31094	76	3419	10.9957	0.356467	35.9	49.8
HiC_scaffold_120	1	31000	95	6184	19.9484	0.447806	35.3	50.4
HiC_scaffold_121	1	30892	56	3568	11.5499	0.261395	35.8	44.5
HiC_scaffold_122	1	30671	289	6746	21.9947	1.4011	35.7	38.8
HiC_scaffold_123	1	30159	339	23478	77.8474	1.63102	35.3	59.9
HiC_scaffold_124	1	30112	14	1567	5.20391	0.06964	36.6	39.9
HiC_scaffold_125	1	30000	136	2626	8.75333	0.6785	35.5	38
HiC_scaffold_126	1	30000	78	4560	15.2	0.369067	35.4	46.4
HiC_scaffold_127	1	29632	353	4798	16.192	1.56388	35.2	43.8
HiC_scaffold_128	1	29216	69	7588	25.9721	0.350288	35.7	49
HiC_scaffold_129	1	29000	25	1667	5.74828	0.12069	35.8	54.2
HiC_scaffold_130	1	28743	26	2737	9.52232	0.135442	35.3	49.9
HiC_scaffold_131	1	28267	623	9206	32.568	3.28111	35.8	39.8
HiC_scaffold_132	1	28006	279	6720	23.9949	1.47572	35.1	40.1
HiC_scaffold_133	1	27859	137	11053	39.6748	0.71266	35.4	54.6
HiC_scaffold_134	1	27837	302	21676	77.8676	1.54047	35.4	59.5
HiC_scaffold_135	1	27503	128	4070	14.7984	0.693488	35.5	38
HiC_scaffold_136	1	27405	295	20855	76.0993	1.57216	35.5	59.9
HiC_scaffold_137	1	27128	4	464	1.71041	0.0221174	35.4	37.5
HiC_scaffold_138	1	27000	104	8043	29.7889	0.574074	35.6	52.2
