#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	840527	56476920	75.2524	1.63151	35.6	59.2
HiC_scaffold_2	1	56816963	638914	42816771	75.3591	1.63669	35.6	59.2
HiC_scaffold_3	1	109611085	1182656	80341753	73.2971	1.57238	35.6	58.8
HiC_scaffold_4	1	81599725	904284	60834020	74.5517	1.61413	35.6	59.1
HiC_scaffold_5	1	72353455	818201	54894767	75.8703	1.64691	35.6	59.3
HiC_scaffold_6	1	67692486	765949	51130852	75.534	1.64806	35.6	59.2
HiC_scaffold_7	1	59159807	662307	44200008	74.7129	1.6299	35.6	59
HiC_scaffold_8	1	13479537	155312	10328949	76.6269	1.68539	35.6	59.5
HiC_scaffold_9	1	58964884	668193	44416308	75.3267	1.64889	35.6	59.1
HiC_scaffold_10	1	36732878	409551	27273481	74.2481	1.62092	35.6	59
HiC_scaffold_11	1	27384	197	5971	21.8047	1.05963	35.2	44.6
HiC_scaffold_12	1	33592	1209	6831	20.3352	4.71508	35.1	45.5
HiC_scaffold_13	1	184337	7621	143446	77.8173	5.74664	35.5	51.6
HiC_scaffold_14	1	85992	4127	49206	57.2216	6.61959	34.9	46
HiC_scaffold_15	1	87022	450	11997	13.7862	0.696939	35.3	43.8
HiC_scaffold_16	1	89609	3110	11315	12.6271	3.79528	35.8	50.6
HiC_scaffold_17	1	164154	7850	77118	46.9791	6.90765	35.5	49.6
HiC_scaffold_18	1	104921	508	44153	42.0821	0.701614	35.5	53
HiC_scaffold_19	1	103720	521	35473	34.2007	0.723149	35.6	47.3
HiC_scaffold_20	1	90353	658	32119	35.5483	1.03852	35.3	49
HiC_scaffold_21	1	85252	368	24790	29.0785	0.611516	35.3	47.6
HiC_scaffold_22	1	80500	402	22772	28.2882	0.740186	35.6	49.1
HiC_scaffold_23	1	75743	332	21288	28.1056	0.641327	35.3	51.2
HiC_scaffold_24	1	75592	1251	18646	24.6666	2.3587	35.4	43.1
