#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	775129	54913066	73.1686	1.50712	35.5	59.1
HiC_scaffold_2	1	56816963	589447	41687102	73.3709	1.51262	35.5	59.2
HiC_scaffold_3	1	109611085	1091245	78005899	71.1661	1.45309	35.5	58.7
HiC_scaffold_4	1	81599725	834247	59196121	72.5445	1.49182	35.5	59.1
HiC_scaffold_5	1	72353455	752371	53204527	73.5342	1.51715	35.5	59.3
HiC_scaffold_6	1	67692486	704630	49675690	73.3843	1.51837	35.5	59.2
HiC_scaffold_7	1	59159807	611420	42931167	72.5681	1.50622	35.5	59
HiC_scaffold_8	1	13479537	72627	6887127	51.0932	0.788922	35.5	59.4
HiC_scaffold_9	1	58964884	610799	43039313	72.9914	1.51038	35.5	59.1
HiC_scaffold_10	1	36732878	380668	26613694	72.452	1.50841	35.5	59
HiC_scaffold_11	1	27384	196	6395	23.3531	1.0443	35	46
HiC_scaffold_12	1	33592	1360	8350	24.8571	5.30528	35	45.7
HiC_scaffold_13	1	184337	6488	144465	78.3701	4.90717	35.5	52.3
HiC_scaffold_14	1	85992	2182	45432	52.8328	3.4941	34.9	45.2
HiC_scaffold_15	1	87022	649	21454	24.6535	1.00927	35.2	45.9
HiC_scaffold_16	1	89609	2512	9894	11.0413	2.9993	35.7	51
HiC_scaffold_17	1	164154	1682	48627	29.6228	1.46445	35.5	52
HiC_scaffold_18	1	104921	110	6558	6.25042	0.142745	35.6	45.2
HiC_scaffold_19	1	103720	428	30882	29.7744	0.599904	35.6	48.6
HiC_scaffold_20	1	90353	466	25308	28.0101	0.743484	35.1	50.4
HiC_scaffold_21	1	85252	294	23845	27.97	0.507319	35.5	46.6
HiC_scaffold_22	1	80500	451	23748	29.5006	0.832907	35.4	49.1
HiC_scaffold_23	1	75743	289	19505	25.7516	0.561346	35.3	53.3
HiC_scaffold_24	1	75592	1533	19723	26.0914	2.85821	35.4	43.3
HiC_scaffold_25	1	72691	1607	35853	49.3225	3.16101	35.4	54.1
HiC_scaffold_26	1	71458	632	34559	48.3627	1.27335	35.6	48.4
HiC_scaffold_27	1	70045	2629	52749	75.3073	5.36264	35.4	53.8
HiC_scaffold_28	1	68558	128	4319	6.29978	0.210581	35.2	52.5
HiC_scaffold_29	1	68222	973	19380	28.4073	2.1204	35.5	45
HiC_scaffold_30	1	67017	651	36514	54.4847	1.42449	35.4	47.8
HiC_scaffold_31	1	65972	56	6081	9.21755	0.125265	35.3	43.3
HiC_scaffold_32	1	64000	610	31265	48.8516	1.29939	35.5	49.8
HiC_scaffold_33	1	62684	528	15819	25.2361	1.03735	35.3	41.8
HiC_scaffold_34	1	60035	282	21055	35.0712	0.591472	35.3	52.8
HiC_scaffold_35	1	59483	118	10614	17.8438	0.291747	35.9	52.2
HiC_scaffold_36	1	58601	546	6931	11.8274	1.36027	35.2	47.7
HiC_scaffold_37	1	57907	194	11449	19.7714	0.478025	35.3	46.7
HiC_scaffold_38	1	57623	211	2499	4.33681	0.493327	35.5	39.1
HiC_scaffold_39	1	56881	644	20461	35.9716	1.30101	35.5	49.1
HiC_scaffold_40	1	56115	508	9778	17.4249	1.13665	35.5	38.8
HiC_scaffold_41	1	55753	707	22769	40.8391	1.82232	35.1	41
HiC_scaffold_42	1	55361	101	4851	8.76249	0.260201	35.2	46.7
HiC_scaffold_43	1	55333	533	10624	19.2001	1.37354	35.1	40.3
HiC_scaffold_44	1	54697	1753	45043	82.35	4.72042	35.6	55.8
HiC_scaffold_45	1	54079	73	2582	4.7745	0.150151	35.5	42.1
HiC_scaffold_46	1	53000	216	7749	14.6208	0.594943	35.1	39.8
HiC_scaffold_47	1	52728	1430	18992	36.0188	3.77777	35	47.3
HiC_scaffold_48	1	52696	330	22240	42.2043	0.920601	35.5	53.7
HiC_scaffold_49	1	52574	86	4242	8.06863	0.234812	35.3	40.3
HiC_scaffold_50	1	52452	45	1167	2.22489	0.0531724	36.2	55.9
HiC_scaffold_51	1	52291	221	5888	11.2601	0.553001	35.1	43.7
HiC_scaffold_52	1	50660	378	28227	55.7185	1.1033	35.6	56.7
HiC_scaffold_53	1	50444	1604	32951	65.3219	4.67275	35.6	55.8
HiC_scaffold_54	1	50000	559	38413	76.826	1.6383	35.6	59.9
HiC_scaffold_55	1	49402	71	5624	11.3842	0.209546	34.9	45.4
HiC_scaffold_56	1	48994	143	6882	14.0466	0.413112	35.4	42.3
HiC_scaffold_57	1	48961	89	5275	10.7739	0.266437	35.5	42.1
HiC_scaffold_58	1	48913	132	8466	17.3083	0.400773	35.5	48.2
HiC_scaffold_59	1	48516	486	13047	26.8922	1.48516	35.5	48.6
HiC_scaffold_60	1	48449	309	24384	50.3292	0.943879	35.6	52.4
HiC_scaffold_61	1	48102	128	8525	17.7228	0.382292	35.4	48.5
HiC_scaffold_62	1	47095	382	29655	62.9685	1.19735	35.5	56.7
HiC_scaffold_63	1	45946	605	27625	60.1249	1.94354	35.3	52
HiC_scaffold_64	1	45702	237	5783	12.6537	0.703689	35.3	46.1
HiC_scaffold_65	1	45164	414	11667	25.8325	1.25864	35	44.8
HiC_scaffold_66	1	45000	1184	8506	18.9022	3.68938	35.1	46.8
HiC_scaffold_67	1	44932	673	8734	19.4383	1.89088	35.3	40.8
HiC_scaffold_68	1	44535	136	9268	20.8106	0.45041	35.4	45.2
HiC_scaffold_69	1	43359	282	10686	24.6454	0.935331	35.1	44.3
HiC_scaffold_70	1	43000	323	8327	19.3651	1.00586	35.4	41.6
HiC_scaffold_71	1	42000	306	13755	32.75	0.957286	35.5	48.9
HiC_scaffold_72	1	41780	26	2080	4.97846	0.0899473	35.2	39.8
HiC_scaffold_73	1	41131	47	3714	9.02969	0.166857	35.6	47.5
HiC_scaffold_74	1	41000	146	10934	26.6683	0.526732	35.4	55.2
HiC_scaffold_75	1	40673	131	4777	11.7449	0.467878	35.5	40.7
HiC_scaffold_76	1	40021	220	4438	11.0892	0.734789	35.4	39.2
HiC_scaffold_77	1	40000	56	4454	11.135	0.203825	35	53.1
HiC_scaffold_78	1	39995	169	16153	40.3875	0.625403	35.3	53.2
HiC_scaffold_79	1	39987	39	3807	9.52059	0.144072	35.9	44
HiC_scaffold_80	1	39907	57	3833	9.60483	0.197259	34.9	52.5
HiC_scaffold_81	1	39785	380	6290	15.81	1.12809	35.3	44.3
HiC_scaffold_82	1	39714	1765	10576	26.6304	6.14937	35.2	44.5
HiC_scaffold_83	1	39603	108	9946	25.1143	0.402116	35.9	54
HiC_scaffold_84	1	39032	1015	23984	61.447	3.68651	35.3	49
HiC_scaffold_85	1	38821	290	10079	25.9628	1.06381	35.3	43.8
HiC_scaffold_86	1	38551	246	4965	12.879	0.788229	34.7	48.9
HiC_scaffold_87	1	38336	290	6994	18.2439	1.1201	35.3	41.1
HiC_scaffold_88	1	38081	226	6220	16.3336	0.825162	35.3	56.9
HiC_scaffold_89	1	37423	99	1557	4.16054	0.351255	35.2	43.7
HiC_scaffold_90	1	37049	256	11968	32.3032	1.01617	35.6	44.4
HiC_scaffold_91	1	37000	359	26835	72.527	1.40876	35.6	60
HiC_scaffold_92	1	36719	37	2779	7.56829	0.1463	35.4	53.4
HiC_scaffold_93	1	36624	271	6898	18.8346	0.987849	35.3	39.4
HiC_scaffold_94	1	36550	75	3709	10.1477	0.303037	35.9	42.4
HiC_scaffold_95	1	35915	572	15844	44.1153	2.19655	34.9	44
HiC_scaffold_96	1	35569	256	9568	26.8998	1.06663	35.4	47.1
HiC_scaffold_97	1	35569	138	9990	28.0863	0.559673	35.6	47.7
HiC_scaffold_98	1	35521	210	5124	14.4253	0.704175	35.4	48.3
HiC_scaffold_99	1	35305	1008	25721	72.8537	3.76799	35.3	58.2
HiC_scaffold_100	1	35285	324	24036	68.1196	1.35431	35.5	56.8
HiC_scaffold_101	1	35090	143	9999	28.4953	0.513879	34.8	52.5
HiC_scaffold_102	1	34736	51	4681	13.4759	0.214129	35.5	50.5
HiC_scaffold_103	1	34662	602	15159	43.7338	2.37165	35.4	41.2
HiC_scaffold_104	1	34539	102	8492	24.5867	0.436232	35.6	52.6
HiC_scaffold_105	1	34367	49	3590	10.4461	0.207757	34.8	47.6
HiC_scaffold_106	1	34092	23	1976	5.79608	0.0984395	35.7	42
HiC_scaffold_107	1	34034	1352	30116	88.488	5.71969	35.7	58.7
HiC_scaffold_108	1	34000	140	4408	12.9647	0.608029	35.5	38.4
HiC_scaffold_109	1	33013	257	10038	30.4062	1.06525	34.8	41.9
HiC_scaffold_110	1	32894	42	2457	7.46945	0.176598	35.1	45.8
HiC_scaffold_111	1	32703	93	7890	24.1262	0.425282	35.7	49
HiC_scaffold_112	1	32055	113	9370	29.231	0.501014	35.3	52.8
HiC_scaffold_113	1	31996	203	3925	12.2672	0.656426	35.3	44.2
HiC_scaffold_114	1	31869	161	6237	19.5707	0.638614	35.7	50
HiC_scaffold_115	1	31497	224	7631	24.2277	1.02343	35.3	42.9
HiC_scaffold_116	1	31452	171	14034	44.6204	0.795879	35.3	56.1
HiC_scaffold_117	1	31435	117	10659	33.9081	0.553396	35.7	49.1
HiC_scaffold_118	1	31168	248	16616	53.3111	1.15407	35.3	56.5
HiC_scaffold_119	1	31094	45	3669	11.7997	0.216312	35.4	45.5
HiC_scaffold_120	1	31000	122	9197	29.6677	0.585065	35.3	47.3
HiC_scaffold_121	1	30892	43	3035	9.82455	0.20863	35	41.9
HiC_scaffold_122	1	30671	255	6531	21.2937	1.24303	35.6	38.5
HiC_scaffold_123	1	30159	363	25100	83.2256	1.76899	35.5	60
HiC_scaffold_124	1	30112	18	2173	7.21639	0.0895988	35.3	38.6
HiC_scaffold_125	1	30000	80	2583	8.61	0.397967	35.5	39.2
HiC_scaffold_126	1	30000	74	4491	14.97	0.355	35.6	45.9
HiC_scaffold_127	1	29632	305	5435	18.3417	1.40429	35.4	42.2
HiC_scaffold_128	1	29216	96	8741	29.9185	0.476622	35.5	49.3
HiC_scaffold_129	1	29000	22	1770	6.10345	0.0980345	35.7	58.4
HiC_scaffold_130	1	28743	11	649	2.25794	0.056292	35	52.3
HiC_scaffold_131	1	28267	482	10262	36.3038	2.53072	35.7	40.4
HiC_scaffold_132	1	28006	196	6134	21.9024	1.03467	35	41.2
HiC_scaffold_133	1	27859	128	10484	37.6324	0.667684	35.4	56
HiC_scaffold_134	1	27837	358	22146	79.556	1.83213	35.1	59.4
HiC_scaffold_135	1	27503	158	6423	23.3538	0.857397	35.3	38.9
HiC_scaffold_136	1	27405	296	20766	75.7745	1.57066	35.3	59.8
HiC_scaffold_137	1	27128	4	600	2.21174	0.0221174	36.4	40
HiC_scaffold_138	1	27000	84	6602	24.4519	0.452963	35.5	52.3
HiC_scaffold_139	1	26958	43	2178	8.07923	0.234736	35.5	44.8
HiC_scaffold_140	1	26822	46	2626	9.79047	0.239654	34.8	48.7
HiC_scaffold_141	1	26714	257	9010	33.7276	1.32279	35.2	45
HiC_scaffold_142	1	26597	233	11305	42.5048	1.24687	35.4	46.7
HiC_scaffold_143	1	26526	40	2152	8.11279	0.190191	34.6	51.9
HiC_scaffold_144	1	26403	173	4437	16.8049	0.970269	35.2	41.5
HiC_scaffold_145	1	26321	338	12031	45.7087	1.90027	35.1	42.9
HiC_scaffold_146	1	26302	182	3364	12.7899	0.906623	34.5	38.7
HiC_scaffold_147	1	26228	70	5021	19.1437	0.396103	35.3	50.5
HiC_scaffold_148	1	26220	278	5747	21.9184	1.57609	35.5	38.8
HiC_scaffold_149	1	26169	52	5054	19.3129	0.290191	35.5	50.6
HiC_scaffold_150	1	26140	282	20513	78.4736	1.56301	35.3	59.9
HiC_scaffold_151	1	25970	48	3540	13.6311	0.274355	35.7	37.6
HiC_scaffold_152	1	25914	59	3053	11.7813	0.319943	35.4	45.6
HiC_scaffold_153	1	25756	18	1652	6.41404	0.104597	36	42.7
HiC_scaffold_154	1	25701	92	7967	30.9988	0.518968	35.8	52.7
HiC_scaffold_155	1	25484	650	13311	52.2328	3.73324	35.4	41.6
HiC_scaffold_156	1	25347	1229	12002	47.3508	6.62429	35	44.6
HiC_scaffold_157	1	25300	161	7050	27.8656	0.944071	35.3	43.3
HiC_scaffold_158	1	25137	293	8052	32.0325	1.66587	35.4	41.9
HiC_scaffold_159	1	25068	51	2167	8.64449	0.295317	35.7	47.6
HiC_scaffold_160	1	25021	200	13112	52.404	1.1448	35.5	55.6
HiC_scaffold_161	1	25021	24	1870	7.47372	0.141881	35.8	53
HiC_scaffold_162	1	25013	385	1694	6.77248	1.72079	35.4	43.9
HiC_scaffold_163	1	25000	8	361	1.444	0.04684	35.1	36.8
HiC_scaffold_164	1	25000	4	334	1.336	0.024	36.8	33
HiC_scaffold_165	1	25000	18	1168	4.672	0.10788	36.2	37.9
HiC_scaffold_166	1	25000	91	2871	11.484	0.523	35.1	38.1
HiC_scaffold_167	1	25000	242	16953	67.812	1.39468	35.5	59.1
HiC_scaffold_168	1	25000	318	21049	84.196	1.86172	35.4	60
HiC_scaffold_169	1	25000	310	20186	80.744	1.7724	35.5	59.1
HiC_scaffold_170	1	25000	277	19501	78.004	1.58344	35.4	59.8
HiC_scaffold_171	1	25000	350	21815	87.26	2.03568	35.3	59.9
HiC_scaffold_172	1	25000	290	20109	80.436	1.68996	35.4	59.9
HiC_scaffold_173	1	25000	301	19298	77.192	1.75604	35.6	60
HiC_scaffold_174	1	25000	281	19382	77.528	1.63636	35	59.8
HiC_scaffold_175	1	25000	328	20416	81.664	1.92152	35.6	60
HiC_scaffold_176	1	25000	296	19117	76.468	1.72508	35.4	59.1
HiC_scaffold_177	1	25000	297	19470	77.88	1.71184	35.6	59.7
HiC_scaffold_178	1	25000	269	17981	71.924	1.5678	35.5	59
HiC_scaffold_179	1	25000	270	18070	72.28	1.56864	35.7	60
HiC_scaffold_180	1	25000	227	14525	58.1	1.31144	35.8	56.8
HiC_scaffold_181	1	25000	255	18925	75.7	1.51588	35.4	60
HiC_scaffold_182	1	25000	306	20190	80.76	1.7866	35.8	59.9
HiC_scaffold_183	1	25000	119	3780	15.12	0.69856	35.5	43.6
HiC_scaffold_184	1	25000	280	19409	77.636	1.62592	35.6	59.9
HiC_scaffold_185	1	25000	259	18806	75.224	1.49572	35.4	59.9
HiC_scaffold_186	1	25000	274	19458	77.832	1.5982	35.7	59.9
HiC_scaffold_187	1	25000	26	1649	6.596	0.15572	36	46.2
HiC_scaffold_188	1	24887	212	4840	19.4479	1.14819	35.3	43.2
HiC_scaffold_189	1	24881	496	14079	56.5853	2.33375	35.3	43.9
HiC_scaffold_190	1	24860	192	13397	53.8898	1.12836	35.1	55.9
HiC_scaffold_191	1	24785	138	11074	44.6803	0.830099	35.7	49.2
HiC_scaffold_192	1	24606	4	259	1.05259	0.0210518	36.4	38.5
HiC_scaffold_193	1	24582	170	2529	10.288	0.993369	35.1	45.1
HiC_scaffold_194	1	24552	509	13594	55.3682	2.82845	35.1	46
HiC_scaffold_195	1	24515	68	5483	22.3659	0.406241	35.4	54
HiC_scaffold_196	1	24429	97	5699	23.3288	0.536084	35.8	52.3
HiC_scaffold_197	1	24404	96	5733	23.4921	0.57089	35.2	53.9
HiC_scaffold_198	1	24065	182	14801	61.5043	1.10247	35.2	56.6
HiC_scaffold_199	1	24034	56	5108	21.2532	0.347008	35.6	49.2
HiC_scaffold_200	1	24000	31	1578	6.575	0.169083	35.8	49.4
HiC_scaffold_201	1	24000	671	4149	17.2875	4.16467	35.5	45.8
HiC_scaffold_202	1	23940	276	5025	20.99	1.57381	35.2	40.7
HiC_scaffold_203	1	23878	65	2091	8.75701	0.397269	35.2	36.6
HiC_scaffold_204	1	23813	58	5232	21.9712	0.35951	35.4	52
HiC_scaffold_205	1	23764	56	4133	17.3919	0.342872	35.7	55.5
HiC_scaffold_206	1	23660	16	1694	7.15976	0.100085	34.7	45.4
HiC_scaffold_207	1	23581	168	14217	60.2901	1.05	35.5	53.9
HiC_scaffold_208	1	23490	52	2733	11.6347	0.320009	36.1	38.7
HiC_scaffold_209	1	23453	98	8419	35.8973	0.613269	35.8	55.4
HiC_scaffold_210	1	23041	40	3370	14.6261	0.251161	35.4	58
HiC_scaffold_211	1	23000	331	3210	13.9565	2.15087	35.5	38.5
HiC_scaffold_212	1	23000	113	8870	38.5652	0.724739	35.8	45.6
HiC_scaffold_213	1	23000	36	2531	11.0043	0.223522	35.6	45.5
HiC_scaffold_214	1	23000	100	4893	21.2739	0.63987	35.4	37.4
HiC_scaffold_215	1	23000	44	2894	12.5826	0.276696	36.1	53.9
HiC_scaffold_216	1	22979	11	980	4.26476	0.0712825	35.6	41.2
HiC_scaffold_217	1	22964	66	3632	15.8161	0.42706	35.3	41.7
HiC_scaffold_218	1	22956	71	6425	27.9883	0.462711	35	49.3
HiC_scaffold_220	1	22604	137	12422	54.9549	0.899044	35.7	51.1
HiC_scaffold_221	1	22426	26	1769	7.88817	0.169847	35.7	55.3
HiC_scaffold_222	1	22303	238	11021	49.4149	1.5745	35.5	47.2
HiC_scaffold_223	1	22199	84	4552	20.5054	0.548538	35.5	47.7
HiC_scaffold_224	1	22128	16	1628	7.35719	0.102223	34.8	45.7
HiC_scaffold_225	1	22127	6	697	3.15	0.0406743	36.1	43.8
