#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	871878	57254571	76.2885	1.69	35.6	59.1
HiC_scaffold_2	1	56816963	662940	43461055	76.4931	1.6967	35.6	59.2
HiC_scaffold_3	1	109611085	1224436	81413810	74.2752	1.62679	35.6	58.8
HiC_scaffold_4	1	81599725	937567	61750961	75.6755	1.67216	35.6	59.1
HiC_scaffold_5	1	72353455	846909	55575353	76.8109	1.70307	35.6	59.3
HiC_scaffold_6	1	67692486	791465	51826692	76.562	1.70164	35.6	59.2
HiC_scaffold_7	1	59159807	688605	44942976	75.9688	1.69195	35.6	59
HiC_scaffold_8	1	13479537	80438	7299078	54.1493	0.871764	35.6	59.4
HiC_scaffold_9	1	58964884	689554	44997265	76.312	1.70008	35.6	59.1
HiC_scaffold_10	1	36732878	427560	27763706	75.5827	1.69099	35.5	59
HiC_scaffold_11	1	27384	153	5623	20.5339	0.814417	35.1	45.6
HiC_scaffold_12	1	33592	1666	8393	24.9851	6.47455	35.2	45.2
HiC_scaffold_13	1	184337	8065	143053	77.6041	6.03335	35.5	51.3
HiC_scaffold_14	1	85992	2653	51058	59.3753	4.30367	35.1	45.7
HiC_scaffold_15	1	87022	941	24539	28.1986	1.46736	35.2	45.7
HiC_scaffold_16	1	89609	3453	11517	12.8525	4.1578	35.7	51
HiC_scaffold_17	1	164154	3134	56436	34.3799	2.733	35.5	51.7
HiC_scaffold_18	1	104921	492	39617	37.7589	0.678234	35.5	52
HiC_scaffold_19	1	103720	513	33494	32.2927	0.712081	35.4	48.5
HiC_scaffold_20	1	90353	798	30263	33.4942	1.26309	35	49.3
HiC_scaffold_21	1	85252	377	22449	26.3325	0.628947	35.4	47.3
HiC_scaffold_22	1	80500	517	23868	29.6497	0.943006	35.5	47.7
HiC_scaffold_23	1	75743	357	21036	27.7729	0.672617	35.6	54.3
HiC_scaffold_24	1	75592	2093	19079	25.2394	3.90238	35.4	42.9
HiC_scaffold_25	1	72691	1999	36059	49.6059	3.93494	35.5	54.2
HiC_scaffold_26	1	71458	928	40676	56.9229	1.86147	35.5	46.2
HiC_scaffold_27	1	70045	2811	54193	77.3688	5.71383	35.3	52.4
HiC_scaffold_28	1	68558	91	5315	7.75256	0.182284	35.4	54.7
HiC_scaffold_29	1	68222	917	19410	28.4512	1.99036	35.5	44.6
HiC_scaffold_30	1	67017	908	36441	54.3758	1.94734	35.2	45.1
HiC_scaffold_31	1	65972	60	6600	10.0042	0.13386	35.6	47.8
HiC_scaffold_32	1	64000	750	34277	53.5578	1.57231	35.6	48.9
HiC_scaffold_33	1	62684	692	19455	31.0366	1.3911	35.3	43.1
HiC_scaffold_34	1	60035	397	26603	44.3125	0.870725	35.6	54.8
HiC_scaffold_35	1	59483	107	9455	15.8953	0.2495	35.8	49.8
