#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	862634	57486456	76.5975	1.6752	35.6	59.1
HiC_scaffold_2	1	56816963	653300	43514765	76.5876	1.67472	35.5	59.2
HiC_scaffold_3	1	109611085	1210762	81682132	74.52	1.61058	35.6	58.7
HiC_scaffold_4	1	81599725	926078	61882990	75.8373	1.65392	35.6	59.1
HiC_scaffold_5	1	72353455	837228	55769959	77.0799	1.6865	35.6	59.3
HiC_scaffold_6	1	67692486	782386	51958693	76.757	1.68366	35.6	59.2
HiC_scaffold_7	1	59159807	678138	44950044	75.9807	1.66862	35.5	59
HiC_scaffold_8	1	13479537	79097	7309974	54.2302	0.858886	35.5	59.4
HiC_scaffold_9	1	58964884	678348	45074953	76.4437	1.67506	35.5	59.1
HiC_scaffold_10	1	36732878	422926	27827071	75.7552	1.6742	35.5	59
HiC_scaffold_11	1	27384	245	5893	21.5199	1.31997	35.4	44
HiC_scaffold_12	1	33592	3285	7497	22.3178	13.1486	35.1	46.2
HiC_scaffold_13	1	184337	7936	142908	77.5254	5.98644	35.5	51.5
HiC_scaffold_14	1	85992	3473	52011	60.4835	5.62242	34.9	45
HiC_scaffold_15	1	87022	1306	30526	35.0785	2.05226	35.2	46.1
HiC_scaffold_16	1	89609	3110	11062	12.3447	3.75152	35.6	51
HiC_scaffold_17	1	164154	1683	48269	29.4047	1.4844	35.4	53.2
HiC_scaffold_18	1	104921	85	7124	6.78987	0.113228	35.2	42.2
HiC_scaffold_19	1	103720	562	35752	34.4697	0.77714	35.5	48.3
HiC_scaffold_20	1	90353	844	33904	37.5239	1.31946	35.2	49
HiC_scaffold_21	1	85252	358	24367	28.5823	0.597523	35.4	48.6
HiC_scaffold_22	1	80500	542	23520	29.2174	0.990547	35.6	47.6
HiC_scaffold_23	1	75743	301	19132	25.2591	0.581612	35.7	55
HiC_scaffold_24	1	75592	1246	16521	21.8555	2.32226	35.3	43.4
HiC_scaffold_25	1	72691	1422	35443	48.7584	2.81818	35.3	54.1
HiC_scaffold_26	1	71458	652	38465	53.8288	1.32783	35.3	49.9
HiC_scaffold_27	1	70045	2799	54955	78.4567	5.56497	35.3	51.2
HiC_scaffold_28	1	68558	168	7169	10.4568	0.337072	35.2	55
HiC_scaffold_29	1	68222	915	19913	29.1885	1.98395	35.4	44.9
HiC_scaffold_30	1	67017	777	36945	55.1278	1.67365	35.3	46.4
HiC_scaffold_31	1	65972	62	6023	9.12963	0.140347	35.9	43.9
HiC_scaffold_32	1	64000	789	34845	54.4453	1.69263	35.5	49
HiC_scaffold_33	1	62684	689	19041	30.3762	1.39284	35.4	42.5
HiC_scaffold_34	1	60035	573	34347	57.2116	1.28685	35.7	54.9
HiC_scaffold_35	1	59483	121	10880	18.2909	0.297413	35.3	50.5
HiC_scaffold_36	1	58601	358	4540	7.74731	0.882818	34.8	42.8
HiC_scaffold_37	1	57907	174	10357	17.8856	0.410987	35.6	48.3
HiC_scaffold_38	1	57623	266	3011	5.22534	0.632838	35.1	38
HiC_scaffold_39	1	56881	683	19725	34.6777	1.34996	35.3	50.3
HiC_scaffold_40	1	56115	518	8590	15.3078	1.16258	35.4	38.4
HiC_scaffold_41	1	55753	946	23663	42.4426	2.45815	35.2	41.4
HiC_scaffold_42	1	55361	113	4750	8.58005	0.278734	35.3	46.5
HiC_scaffold_43	1	55333	581	13299	24.0345	1.49639	35.2	39.4
HiC_scaffold_44	1	54697	1964	48569	88.7965	5.28784	35.6	55.4
HiC_scaffold_45	1	54079	127	3112	5.75454	0.256366	35.9	43.6
HiC_scaffold_46	1	53000	220	6530	12.3208	0.606358	35.5	40.1
HiC_scaffold_47	1	52728	1641	28406	53.8727	4.35241	35.1	46.9
HiC_scaffold_48	1	52696	369	25467	48.3281	1.02473	35.7	53.3
HiC_scaffold_49	1	52574	81	4404	8.37676	0.223818	34.9	39.8
HiC_scaffold_50	1	52452	50	1050	2.00183	0.052467	35.6	54.4
HiC_scaffold_51	1	52291	183	6093	11.6521	0.445067	35.3	47.3
HiC_scaffold_52	1	50660	436	30605	60.4126	1.25247	35.7	56.6
HiC_scaffold_53	1	50444	1114	30096	59.6622	3.26189	35.4	56.7
HiC_scaffold_54	1	50000	592	40036	80.072	1.72396	35.6	59.7
HiC_scaffold_55	1	49402	86	5105	10.3336	0.260151	35.3	44.5
HiC_scaffold_56	1	48994	196	7000	14.2875	0.548394	35.6	44.6
HiC_scaffold_57	1	48961	84	4622	9.44017	0.254345	35.9	42.7
HiC_scaffold_58	1	48913	266	22411	45.8181	0.803958	35.4	51.3
HiC_scaffold_59	1	48516	437	15537	32.0245	1.32865	35.4	47.8
HiC_scaffold_60	1	48449	331	27905	57.5966	1.01717	35.6	51.9
HiC_scaffold_61	1	48102	86	6606	13.7333	0.25633	35.6	49.2
HiC_scaffold_62	1	47095	454	33046	70.1688	1.41484	35.5	55.7
HiC_scaffold_63	1	45946	546	26278	57.1932	1.74672	35.4	53
HiC_scaffold_64	1	45702	246	6193	13.5508	0.751477	35.4	45.7
HiC_scaffold_65	1	45164	709	13724	30.387	2.17244	35.1	43.8
HiC_scaffold_66	1	45000	981	8045	17.8778	3.05324	35.4	48
HiC_scaffold_67	1	44932	622	8822	19.6341	1.63785	35.4	41.2
HiC_scaffold_68	1	44535	73	6560	14.73	0.23669	35.5	45.7
HiC_scaffold_69	1	43359	490	12780	29.4748	1.67197	35.4	43.2
HiC_scaffold_70	1	43000	319	8132	18.9116	0.93993	35.6	39.2
HiC_scaffold_71	1	42000	408	14761	35.1452	1.23329	35.4	48.3
HiC_scaffold_72	1	41780	50	2879	6.89086	0.175826	35.7	40.9
HiC_scaffold_73	1	41131	41	3443	8.37082	0.142326	35.7	51.2
HiC_scaffold_74	1	41000	179	12173	29.6902	0.640585	35.6	55.2
HiC_scaffold_75	1	40673	187	4510	11.0884	0.677427	35.9	41.5
HiC_scaffold_76	1	40021	261	6167	15.4094	0.88501	35.2	40.3
HiC_scaffold_77	1	40000	45	3582	8.955	0.1633	35.6	55
HiC_scaffold_78	1	39995	170	16980	42.4553	0.623503	35.6	54
HiC_scaffold_79	1	39987	31	3512	8.78285	0.114637	35.4	43.9
HiC_scaffold_80	1	39907	53	3632	9.10116	0.193525	35.4	55.3
HiC_scaffold_81	1	39785	412	7035	17.6825	1.26721	35.3	43.5
HiC_scaffold_82	1	39714	1400	11577	29.1509	4.87244	35.2	43.7
HiC_scaffold_83	1	39603	148	10972	27.705	0.541979	35.6	55.2
HiC_scaffold_84	1	39032	1090	24375	62.4488	3.84282	35.2	48.7
HiC_scaffold_85	1	38821	300	9982	25.7129	1.1138	35.4	44.5
HiC_scaffold_86	1	38551	316	4779	12.3966	1.03479	35.1	48.3
HiC_scaffold_87	1	38336	236	6706	17.4927	0.910424	35.2	40.9
HiC_scaffold_88	1	38081	203	6685	17.5547	0.742129	35.7	56.3
HiC_scaffold_89	1	37423	130	1931	5.15993	0.471849	35.3	45.3
HiC_scaffold_90	1	37049	340	11409	30.7944	1.35817	35.6	43.4
HiC_scaffold_91	1	37000	460	31168	84.2378	1.81776	35.4	59.8
HiC_scaffold_92	1	36719	39	3147	8.57049	0.152591	35.7	49.6
HiC_scaffold_93	1	36624	402	7762	21.1938	1.48124	35.2	39.7
HiC_scaffold_94	1	36550	162	4106	11.2339	0.658167	35.8	40.5
HiC_scaffold_95	1	35915	1024	18416	51.2766	3.99705	35.1	43.6
HiC_scaffold_96	1	35569	391	11139	31.3166	1.62768	35.8	45.3
HiC_scaffold_97	1	35569	263	8723	24.5242	0.991144	35.2	44.7
HiC_scaffold_98	1	35521	154	2951	8.30776	0.398131	35.2	48.5
HiC_scaffold_99	1	35305	1170	25047	70.9446	4.36666	35.5	57.4
HiC_scaffold_100	1	35285	337	23008	65.2062	1.38798	35.4	58.4
HiC_scaffold_101	1	35090	264	11916	33.9584	0.955771	35.1	52.3
HiC_scaffold_102	1	34736	71	6245	17.9785	0.299804	35.6	50
HiC_scaffold_103	1	34662	755	16212	46.7717	3.00447	35.4	40.8
HiC_scaffold_104	1	34539	134	10854	31.4253	0.557573	35.4	49.7
HiC_scaffold_105	1	34367	43	3769	10.9669	0.179445	35.6	53.2
HiC_scaffold_106	1	34092	15	883	2.59005	0.0548809	35.4	47.1
HiC_scaffold_107	1	34034	1118	29336	86.1962	4.74919	35.6	58.6
HiC_scaffold_108	1	34000	203	4389	12.9088	0.880912	35.2	39.7
HiC_scaffold_109	1	33013	330	11924	36.1191	1.35656	34.9	42
HiC_scaffold_110	1	32894	32	1908	5.80045	0.133702	35.9	59.4
HiC_scaffold_111	1	32703	66	6886	21.0562	0.29826	35.1	47
HiC_scaffold_112	1	32055	130	8968	27.9769	0.566932	35.4	52.5
HiC_scaffold_113	1	31996	286	4639	14.4987	0.94343	35.3	43.6
HiC_scaffold_114	1	31869	178	7449	23.3738	0.727039	35.7	51.4
HiC_scaffold_115	1	31497	362	9651	30.641	1.66117	35.4	42.3
HiC_scaffold_116	1	31452	220	16263	51.7074	1.02235	35.6	55.3
HiC_scaffold_117	1	31435	113	13596	43.2512	0.538254	35.4	49.6
