#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	614000	49214325	65.5754	1.19465	35.5	59.1
HiC_scaffold_2	1	56816963	466503	37363289	65.7608	1.19791	35.5	59.2
HiC_scaffold_3	1	109611085	863314	69878779	63.7516	1.15059	35.5	58.7
HiC_scaffold_4	1	81599725	662283	53176285	65.1672	1.18582	35.5	59.1
HiC_scaffold_5	1	72353455	597077	47900578	66.2036	1.20553	35.5	59.3
HiC_scaffold_6	1	67692486	557918	44590284	65.8718	1.20297	35.5	59.2
HiC_scaffold_7	1	59159807	483731	38600322	65.2475	1.1925	35.5	59
HiC_scaffold_8	1	13479537	57314	5875119	43.5855	0.623169	35.5	59.5
HiC_scaffold_9	1	58964884	485011	38707796	65.6455	1.19999	35.5	59.1
HiC_scaffold_10	1	36732878	300447	23920858	65.1211	1.19191	35.5	59
HiC_scaffold_11	1	27384	150	5357	19.5625	0.811569	35.3	42.7
HiC_scaffold_12	1	33592	2006	7694	22.9043	8.00732	35	46.3
HiC_scaffold_13	1	184337	5999	142035	77.0518	4.52628	35.5	52.4
HiC_scaffold_14	1	85992	1613	44262	51.4722	2.60364	34.9	45.8
HiC_scaffold_15	1	87022	790	25510	29.3144	1.24888	35.2	46.3
HiC_scaffold_16	1	89609	2591	8325	9.29036	3.11003	35.7	51.2
HiC_scaffold_17	1	164154	2389	44626	27.1854	2.11057	35.3	48.9
HiC_scaffold_18	1	104921	299	29357	27.9801	0.412711	35.6	52.5
HiC_scaffold_19	1	103720	376	29441	28.3851	0.517017	35.3	48.3
HiC_scaffold_20	1	90353	428	25462	28.1806	0.684714	35.1	50.3
HiC_scaffold_21	1	85252	279	20896	24.5109	0.470312	35.2	47.5
HiC_scaffold_22	1	80500	333	20819	25.8621	0.60564	35.6	48.2
HiC_scaffold_23	1	75743	276	20346	26.8619	0.53531	35.2	53.1
HiC_scaffold_24	1	75592	1249	16687	22.0751	2.32556	35.4	43.2
HiC_scaffold_25	1	72691	1063	33770	46.4569	2.08224	35.3	53.3
HiC_scaffold_26	1	71458	616	33873	47.4027	1.24002	35.4	46.6
HiC_scaffold_27	1	70045	1878	52366	74.7605	3.79479	35.3	51.6
HiC_scaffold_28	1	68558	88	5272	7.68984	0.152353	35.2	54.2
HiC_scaffold_29	1	68222	749	18361	26.9136	1.62921	35.3	44.9
HiC_scaffold_30	1	67017	535	31646	47.2209	1.16357	35.2	46.2
HiC_scaffold_31	1	65972	66	6786	10.2862	0.149579	35.6	48.6
HiC_scaffold_32	1	64000	615	32467	50.7297	1.31661	35.4	49.6
HiC_scaffold_33	1	62684	566	17633	28.13	1.14066	35.3	42.3
HiC_scaffold_34	1	60035	360	25723	42.8467	0.815441	35.5	56.5
HiC_scaffold_35	1	59483	103	10320	17.3495	0.257603	36	50.1
HiC_scaffold_36	1	58601	501	4276	7.2968	1.24355	35.1	42.9
HiC_scaffold_37	1	57907	125	10488	18.1118	0.304005	35.3	49.6
HiC_scaffold_38	1	57623	207	3330	5.77894	0.479027	35.6	38.3
HiC_scaffold_39	1	56881	613	18807	33.0638	1.21524	35.2	49
HiC_scaffold_40	1	56115	436	8729	15.5556	0.976192	35.7	40
HiC_scaffold_41	1	55753	428	20067	35.9927	1.10694	35.1	41.4
HiC_scaffold_42	1	55361	84	3347	6.04577	0.202001	34.8	44.7
HiC_scaffold_43	1	55333	429	10183	18.4031	1.08816	34.9	40.6
HiC_scaffold_44	1	54697	1421	45169	82.5804	3.82957	35.5	55.8
HiC_scaffold_45	1	54079	70	4469	8.26384	0.157603	35.4	48.7
HiC_scaffold_46	1	53000	132	5897	11.1264	0.361113	35.3	41.1
HiC_scaffold_47	1	52728	925	20179	38.27	2.47303	34.9	47.2
HiC_scaffold_48	1	52696	150	13150	24.9545	0.416274	35.5	52.8
HiC_scaffold_49	1	52574	83	4776	9.08434	0.23232	35.4	39.9
HiC_scaffold_50	1	52452	36	1337	2.549	0.0558415	34.7	52.9
HiC_scaffold_51	1	52291	141	6083	11.633	0.362586	35.5	46.5
HiC_scaffold_52	1	50660	272	22067	43.559	0.778602	35.4	57.8
HiC_scaffold_53	1	50444	966	30164	59.797	2.82545	35.6	56
HiC_scaffold_54	1	50000	413	33123	66.246	1.20874	35.5	59.8
HiC_scaffold_55	1	49402	60	4583	9.27695	0.170641	34.5	44.9
HiC_scaffold_56	1	48994	130	5666	11.5647	0.360391	35.9	46.8
HiC_scaffold_57	1	48961	77	3896	7.95735	0.234799	35.5	42.1
HiC_scaffold_58	1	48913	252	21877	44.7264	0.761577	35.6	51.5
HiC_scaffold_59	1	48516	412	10885	22.4359	1.26536	35.4	47.8
HiC_scaffold_60	1	48449	247	21873	45.1464	0.752977	35.6	52.4
HiC_scaffold_61	1	48102	101	7843	16.3049	0.304374	35.4	46
HiC_scaffold_62	1	47095	317	25887	54.9676	0.995668	35.5	56.9
HiC_scaffold_63	1	45946	461	24548	53.4279	1.46457	35.2	53.1
HiC_scaffold_64	1	45702	147	4148	9.07619	0.428668	35.5	43.3
HiC_scaffold_65	1	45164	451	13515	29.9243	1.33586	35.2	43.5
HiC_scaffold_66	1	45000	1204	8705	19.3444	3.73689	35.3	47.9
HiC_scaffold_67	1	44932	559	9086	20.2217	1.51894	35.5	41
HiC_scaffold_68	1	44535	61	5648	12.6822	0.20238	34.9	44.4
HiC_scaffold_69	1	43359	285	10708	24.6961	0.963422	35.3	43
HiC_scaffold_70	1	43000	180	5520	12.8372	0.518744	35.2	40
HiC_scaffold_71	1	42000	268	12388	29.4952	0.826	35.4	48.2
HiC_scaffold_72	1	41780	29	1850	4.42796	0.100072	35.5	41.9
HiC_scaffold_73	1	41131	26	1644	3.99699	0.0868202	35.5	53.7
HiC_scaffold_74	1	41000	143	11736	28.6244	0.518293	35.2	55.3
HiC_scaffold_75	1	40673	152	4686	11.5212	0.533179	35.2	40.3
HiC_scaffold_76	1	40021	196	6003	14.9996	0.669848	35.3	39.5
HiC_scaffold_77	1	40000	44	3688	9.22	0.15995	35.5	54.4
HiC_scaffold_78	1	39995	106	11004	27.5134	0.385898	35.8	54.3
HiC_scaffold_79	1	39987	13	1640	4.10133	0.0487408	35.8	42.1
HiC_scaffold_80	1	39907	39	3578	8.96585	0.141128	34.7	54.6
HiC_scaffold_81	1	39785	265	6797	17.0843	0.805228	35.4	44.5
HiC_scaffold_82	1	39714	1794	9480	23.8707	6.20887	35.2	44.9
HiC_scaffold_83	1	39603	69	6023	15.2084	0.253466	35.8	55.8
HiC_scaffold_84	1	39032	828	21809	55.8747	3.00082	35.4	48.6
HiC_scaffold_85	1	38821	251	6821	17.5704	0.923572	35.3	43.3
HiC_scaffold_86	1	38551	184	4808	12.4718	0.586574	35.3	46.9
HiC_scaffold_87	1	38336	194	6753	17.6153	0.754121	35.1	41
HiC_scaffold_88	1	38081	149	4636	12.1741	0.557496	35.2	57.8
HiC_scaffold_89	1	37423	87	1340	3.58069	0.318547	35.3	44.3
HiC_scaffold_90	1	37049	294	10116	27.3044	1.16165	35.6	43.5
HiC_scaffold_91	1	37000	349	26506	71.6378	1.38278	35.3	60
HiC_scaffold_92	1	36719	28	2862	7.79433	0.109807	34.9	50.2
HiC_scaffold_93	1	36624	231	6298	17.1964	0.833634	35.2	40.6
HiC_scaffold_94	1	36550	100	3191	8.73051	0.406074	35.3	40
HiC_scaffold_95	1	35915	505	14734	41.0246	1.93643	35.2	44.1
HiC_scaffold_96	1	35569	276	10157	28.5558	1.15536	35.5	46.2
HiC_scaffold_97	1	35569	184	9413	26.4641	0.711996	35.3	47.8
HiC_scaffold_98	1	35521	122	3745	10.5431	0.327299	35.6	49.7
HiC_scaffold_99	1	35305	695	21423	60.6798	2.6194	35.3	57.6
HiC_scaffold_100	1	35285	241	19862	56.2902	0.99487	35.2	56.6
HiC_scaffold_101	1	35090	183	11507	32.7928	0.730892	34.9	54.2
HiC_scaffold_102	1	34736	66	6002	17.2789	0.28184	35.5	48.8
HiC_scaffold_103	1	34662	710	15977	46.0937	2.81784	35.4	41.7
HiC_scaffold_104	1	34539	93	9630	27.8815	0.391152	35.5	50.4
HiC_scaffold_105	1	34367	49	3666	10.6672	0.194111	35.9	46.8
HiC_scaffold_106	1	34092	5	600	1.75994	0.0219406	34.9	46.8
HiC_scaffold_107	1	34034	766	28518	83.7927	3.27164	35.5	58.3
HiC_scaffold_108	1	34000	116	3894	11.4529	0.504588	35.2	39.4
HiC_scaffold_109	1	33013	228	9042	27.3892	0.93657	34.8	42
HiC_scaffold_110	1	32894	8	954	2.90022	0.0307655	35.3	52.5
HiC_scaffold_111	1	32703	82	8164	24.9641	0.372626	35.6	45.6
HiC_scaffold_112	1	32055	88	7222	22.53	0.4034	35.3	54.6
HiC_scaffold_113	1	31996	164	3765	11.7671	0.55707	35.1	42.4
HiC_scaffold_114	1	31869	139	5494	17.2393	0.554489	35.8	51.9
HiC_scaffold_115	1	31497	276	7921	25.1484	1.30047	35.6	43.1
HiC_scaffold_116	1	31452	137	12727	40.4648	0.646318	35.6	56.1
HiC_scaffold_117	1	31435	89	9934	31.6017	0.415969	35.7	50.5
HiC_scaffold_118	1	31168	174	13513	43.3554	0.811185	35.1	58.4
HiC_scaffold_119	1	31094	46	4030	12.9607	0.219657	36.2	49.3
HiC_scaffold_120	1	31000	72	6439	20.771	0.341903	35.3	47.2
HiC_scaffold_121	1	30892	33	1938	6.27347	0.160009	35.9	41.4
HiC_scaffold_122	1	30671	165	5813	18.9528	0.801539	35.6	39.7
HiC_scaffold_123	1	30159	305	23389	77.5523	1.48851	35.5	59.9
HiC_scaffold_124	1	30112	8	1199	3.9818	0.039818	36.5	37
HiC_scaffold_125	1	30000	60	2287	7.62333	0.2988	35.3	38
HiC_scaffold_126	1	30000	28	2783	9.27667	0.131633	35	50.1
HiC_scaffold_127	1	29632	269	4817	16.2561	1.20005	35.2	42.8
HiC_scaffold_128	1	29216	76	7072	24.2059	0.388143	35.4	49
HiC_scaffold_129	1	29000	20	1790	6.17241	0.0991379	35.4	47.3
HiC_scaffold_130	1	28743	21	1539	5.35435	0.104617	36.3	57.5
HiC_scaffold_131	1	28267	360	7954	28.1388	1.89185	35.7	41.2
HiC_scaffold_132	1	28006	192	5933	21.1847	1.01996	35.4	40.4
HiC_scaffold_133	1	27859	67	6302	22.6211	0.354248	36	55.4
HiC_scaffold_134	1	27837	246	18349	65.9159	1.26425	35.4	59.8
HiC_scaffold_135	1	27503	96	4637	16.86	0.522525	35.5	37.7
HiC_scaffold_136	1	27405	257	19748	72.0598	1.37351	35.6	59.9
HiC_scaffold_137	1	27128	2	300	1.10587	0.0110587	36.1	39
HiC_scaffold_138	1	27000	105	9492	35.1556	0.575333	35.7	52.4
HiC_scaffold_139	1	26958	35	3070	11.3881	0.185362	35.2	44.5
HiC_scaffold_140	1	26822	30	1953	7.28134	0.160913	35.5	40.9
HiC_scaffold_141	1	26714	560	10169	38.0662	2.93603	35.1	43.2
HiC_scaffold_142	1	26597	187	9643	36.256	0.977366	35.2	44.7
HiC_scaffold_143	1	26526	48	2530	9.53781	0.225062	34.6	49.8
HiC_scaffold_144	1	26403	116	3480	13.1803	0.651933	35.6	42.2
HiC_scaffold_145	1	26321	365	11452	43.509	2.04791	35.1	41.8
HiC_scaffold_146	1	26302	143	2124	8.07543	0.724812	34.7	37.8
HiC_scaffold_147	1	26228	90	5356	20.4209	0.495501	35.4	49.9
HiC_scaffold_148	1	26220	224	4511	17.2044	1.27471	35.3	38.8
HiC_scaffold_149	1	26169	36	4147	15.847	0.20551	35.8	48.2
HiC_scaffold_150	1	26140	230	18337	70.1492	1.28233	35.7	59.8
HiC_scaffold_151	1	25970	70	4029	15.5141	0.402657	35.3	39.7
HiC_scaffold_152	1	25914	45	3202	12.3563	0.231612	35.5	40.3
HiC_scaffold_153	1	25756	3	449	1.74328	0.0174328	36.1	53.3
HiC_scaffold_154	1	25701	52	5144	20.0148	0.2789	35.5	53.1
HiC_scaffold_155	1	25484	304	10125	39.7308	1.72394	35.2	41.9
HiC_scaffold_156	1	25347	862	12205	48.1517	4.75157	35.1	43.5
HiC_scaffold_157	1	25300	116	5299	20.9447	0.678854	35.1	41.5
HiC_scaffold_158	1	25137	545	10031	39.9053	3.11493	35.3	40.7
HiC_scaffold_159	1	25068	24	1948	7.77086	0.141894	35.4	49.5
HiC_scaffold_160	1	25021	109	10426	41.669	0.621438	35.9	54.4
HiC_scaffold_161	1	25021	25	2152	8.60078	0.149674	36	53.4
HiC_scaffold_162	1	25013	497	1686	6.74049	2.42318	35.1	41.8
HiC_scaffold_163	1	25000	12	917	3.668	0.07104	35	37.8
HiC_scaffold_164	1	25000	4	498	1.992	0.02388	36.5	38.5
HiC_scaffold_165	1	25000	18	905	3.62	0.10792	35.5	41.3
HiC_scaffold_166	1	25000	57	1878	7.512	0.3316	35.2	38.5
HiC_scaffold_167	1	25000	220	17046	68.184	1.25152	35.4	59.2
HiC_scaffold_168	1	25000	243	18517	74.068	1.42528	35.5	60
HiC_scaffold_169	1	25000	212	16844	67.376	1.2156	35.2	59
HiC_scaffold_170	1	25000	233	17250	69	1.36404	35.3	59.7
HiC_scaffold_171	1	25000	204	17831	71.324	1.20156	35.8	60
HiC_scaffold_172	1	25000	225	18075	72.3	1.31128	35.8	59.8
HiC_scaffold_173	1	25000	271	20065	80.26	1.585	35.5	59.8
HiC_scaffold_174	1	25000	213	16217	64.868	1.22956	35.1	59.8
HiC_scaffold_175	1	25000	221	18000	72	1.28888	35.4	59.9
HiC_scaffold_176	1	25000	258	18661	74.644	1.50416	35.3	59.3
HiC_scaffold_177	1	25000	223	17617	70.468	1.3088	35.6	59.6
HiC_scaffold_178	1	25000	203	16729	66.916	1.19616	35.4	59.2
HiC_scaffold_179	1	25000	190	15710	62.84	1.10092	35.7	59.5
HiC_scaffold_180	1	25000	179	13723	54.892	1.035	35.5	57.1
HiC_scaffold_181	1	25000	228	18509	74.036	1.32264	35.5	59.9
HiC_scaffold_182	1	25000	224	17327	69.308	1.31036	35.5	60
HiC_scaffold_183	1	25000	64	3012	12.048	0.38372	35.7	42.4
HiC_scaffold_184	1	25000	256	18915	75.66	1.50568	35.6	59.9
HiC_scaffold_185	1	25000	579	23585	94.34	3.37152	35.4	59.8
HiC_scaffold_186	1	25000	217	18026	72.104	1.2696	35.5	59.8
HiC_scaffold_187	1	25000	5	608	2.432	0.02996	34.8	52
HiC_scaffold_188	1	24887	91	3519	14.1399	0.490296	35	42.1
HiC_scaffold_189	1	24881	518	13884	55.8016	2.4585	35.1	43.9
HiC_scaffold_190	1	24860	126	10694	43.0169	0.745173	35.3	56.6
HiC_scaffold_191	1	24785	77	8185	33.024	0.462134	35.7	48.1
HiC_scaffold_192	1	24606	20	1470	5.97415	0.121759	35.7	44.5
HiC_scaffold_193	1	24582	87	2042	8.30689	0.504597	34.8	45.9
HiC_scaffold_194	1	24552	420	11131	45.3364	2.4018	35.2	46.9
HiC_scaffold_195	1	24515	40	4348	17.7361	0.240914	34.1	53.5
HiC_scaffold_196	1	24429	87	4391	17.9745	0.453068	35.2	50.3
HiC_scaffold_197	1	24404	80	5685	23.2954	0.45595	35.4	55.1
HiC_scaffold_198	1	24065	158	14089	58.5456	0.975358	35.6	56
HiC_scaffold_199	1	24034	33	2951	12.2784	0.195057	35.4	53.5
HiC_scaffold_200	1	24000	20	894	3.725	0.113875	36.1	44.3
HiC_scaffold_201	1	24000	517	4791	19.9625	3.18471	35.2	46.2
HiC_scaffold_202	1	23940	264	4338	18.1203	1.53434	35.3	39.7
HiC_scaffold_203	1	23878	51	2399	10.0469	0.309657	35.4	38.1
