#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	810579	55859999	74.4303	1.57702	35.5	59.1
HiC_scaffold_2	1	56816963	616436	42392205	74.6119	1.58273	35.5	59.2
HiC_scaffold_3	1	109611085	1138996	79420833	72.4569	1.51774	35.5	58.7
HiC_scaffold_4	1	81599725	872152	60163605	73.7302	1.56018	35.5	59.1
HiC_scaffold_5	1	72353455	786299	54168379	74.8663	1.58549	35.5	59.3
HiC_scaffold_6	1	67692486	738173	50529700	74.646	1.59165	35.5	59.2
HiC_scaffold_7	1	59159807	640681	43779894	74.0028	1.57932	35.5	59
HiC_scaffold_8	1	13479537	149890	10203038	75.6928	1.63132	35.5	59.5
HiC_scaffold_9	1	58964884	642688	43884764	74.4253	1.58925	35.5	59.1
HiC_scaffold_10	1	36732878	395298	27027742	73.5792	1.56781	35.5	59
HiC_scaffold_11	1	27384	231	6134	22.3999	1.24741	35.4	45.3
HiC_scaffold_12	1	33592	1619	8990	26.7623	6.41998	35	45.3
HiC_scaffold_13	1	184337	6500	144381	78.3245	4.95303	35.5	52.8
HiC_scaffold_14	1	85992	2721	45090	52.4351	4.45298	35	45.1
HiC_scaffold_15	1	87022	1078	29960	34.4281	1.71809	35.2	45.9
HiC_scaffold_16	1	89609	3311	11890	13.2688	4.07481	35.7	50.8
HiC_scaffold_17	1	164154	3340	70572	42.9913	2.91557	35.3	49.7
HiC_scaffold_18	1	104921	943	60550	57.7101	1.31969	35.6	54.6
HiC_scaffold_19	1	103720	432	31581	30.4483	0.605341	35.4	48.8
HiC_scaffold_20	1	90353	728	31084	34.4028	1.15019	35.1	48.9
HiC_scaffold_21	1	85252	350	21468	25.1818	0.576596	35.4	47.1
HiC_scaffold_22	1	80500	490	23566	29.2745	0.90482	35.5	48.7
HiC_scaffold_23	1	75743	347	21657	28.5927	0.677383	35.6	53.9
HiC_scaffold_24	1	75592	1815	16990	22.4759	3.39316	35.3	43.3
HiC_scaffold_25	1	72691	2039	36419	50.1011	4.01816	35.4	54
HiC_scaffold_26	1	71458	745	38010	53.1921	1.51783	35.5	47.6
