#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
HiC_scaffold_1	1	75050035	839276	56656177	75.4912	1.62867	35.6	59.2
HiC_scaffold_2	1	56816963	639241	43026245	75.7278	1.63791	35.5	59.2
HiC_scaffold_3	1	109611085	1183134	80666238	73.5931	1.5732	35.6	58.7
HiC_scaffold_4	1	81599725	902571	61082247	74.8559	1.612	35.6	59.1
HiC_scaffold_5	1	72353455	823250	55166548	76.2459	1.65756	35.6	59.3
HiC_scaffold_6	1	67692486	761519	51225299	75.6735	1.638	35.6	59.2
HiC_scaffold_7	1	59159807	663122	44367909	74.9967	1.63103	35.5	59.1
HiC_scaffold_8	1	13479537	78467	7204007	53.444	0.851061	35.5	59.5
HiC_scaffold_9	1	58964884	665575	44484334	75.4421	1.64302	35.5	59.1
HiC_scaffold_10	1	36732878	409465	27367933	74.5053	1.62057	35.5	59
HiC_scaffold_11	1	27384	282	5275	19.2631	1.52582	35.5	43
HiC_scaffold_12	1	33592	2912	8560	25.4823	11.5305	35	46
HiC_scaffold_13	1	184337	6616	142747	77.4381	4.99055	35.5	52.2
HiC_scaffold_14	1	85992	2147	48414	56.3006	3.46671	35	45.3
HiC_scaffold_15	1	87022	1043	25279	29.049	1.65404	35.3	45.9
HiC_scaffold_16	1	89609	2639	11026	12.3046	3.13996	35.7	50.8
HiC_scaffold_17	1	164154	1627	54792	33.3784	1.42636	35.4	52.6
HiC_scaffold_18	1	104921	436	37797	36.0242	0.608153	35.5	54
HiC_scaffold_19	1	103720	475	34166	32.9406	0.659323	35.4	48
HiC_scaffold_20	1	90353	696	33221	36.768	1.10831	35.1	49.7
HiC_scaffold_21	1	85252	380	25974	30.4673	0.63595	35.3	47.8
HiC_scaffold_22	1	80500	460	22895	28.441	0.838261	35.5	47.1
HiC_scaffold_23	1	75743	315	21030	27.7649	0.615991	35.3	53.9
HiC_scaffold_24	1	75592	1649	17639	23.3345	3.0833	35.3	42.9
HiC_scaffold_25	1	72691	1134	33783	46.4748	2.22308	35.3	53.9
HiC_scaffold_26	1	71458	715	35462	49.6264	1.44678	35.5	47.1
HiC_scaffold_27	1	70045	2360	53928	76.9905	4.72558	35.2	51.3
HiC_scaffold_28	1	68558	76	3901	5.69007	0.148429	35.7	53.9
HiC_scaffold_29	1	68222	828	16860	24.7134	1.8013	35.6	44.8
HiC_scaffold_30	1	67017	759	35908	53.5804	1.65266	35.3	47.1
HiC_scaffold_31	1	65972	82	8254	12.5114	0.183972	35.1	46.1
HiC_scaffold_32	1	64000	659	31699	49.5297	1.39311	35.7	49.9
HiC_scaffold_33	1	62684	721	20735	33.0786	1.44231	35.4	43.8
HiC_scaffold_34	1	60035	503	31631	52.6876	1.18318	35.4	56.5
HiC_scaffold_35	1	59483	159	14725	24.755	0.395995	35.7	49.4
